시장명,지자체,행정동명,위치위도,위치경도,상점수,가맹점수,가맹률
(주)여수수산시장,전남여수시,중앙동,34.73814206,127.7317636,115,99,86.08695652
Team204,서울중구,신당동,37.56771279,127.0131966,100,21,21
가락타운상가시장,부산사하구,하단1동,35.10107782,128.9579657,135,55,40.74074074
가리봉시장,서울구로구,가리봉동,37.48167727,126.8890779,66,36,54.54545455
가야벽산상가,부산부산진구,가야2동,35.14661344,129.0269894,80,6,7.5
가야시장,경남합천군,가야면,35.76024552,128.1383663,64,8,12.5
가양시장,대전동구,가양1동,36.34626329,127.4431993,10,1,10
가은아자개시장,경북문경시,가은읍,36.64660927,128.0609889,93,51,54.83870968
가음정시장,경남창원시 ,가음정동,35.20828431,128.6977985,186,126,67.74193548
가좌시장,인천서구,가좌2동,37.49413933,126.6833977,123,140,113.8211382
간석자유시장,인천남동구,간석3동,37.46388365,126.7153431,138,84,60.86956522
감곡시장,충북음성군,감곡면,37.11822939,127.6391738,65,6,9.230769231
감만시장,부산남구,감만1동,35.11634433,129.0821611,63,23,36.50793651
감전시장,부산사상구,감전동,35.1561407,128.984607,146,65,44.52054795
감전제일상가시장,부산사상구,감전동,35.15632532,128.9845484,57,1,1.754385965
감천2동시장,부산사하구,감천2동,35.09386856,129.0089227,54,16,29.62962963
감천시장,부산사하구,감천1동,35.08825658,129.0054329,39,6,15.38461538
감포시장,경북경주시,감포읍,35.80411024,129.5020144,51,36,70.58823529
강경대흥시장,충남논산시,강경읍,36.15597866,127.013675,110,55,50
강경젓갈시장,충남논산시,강경읍,36.15755625,127.0098063,140,18,12.85714286
강구시장,경북영덕군,강구면,36.35783489,129.379731,54,15,27.77777778
강남시장,서울강남구,신사동,37.51876726,127.0206916,70,9,12.85714286
강남시장,서울동작구,상도1동,37.49693976,126.9535408,30,9,30
강남시장,경기부천시,부천동,37.50722163,126.7813065,113,9,7.96460177
강릉동부시장,강원강릉시,옥천동,37.75584216,128.9020055,168,19,11.30952381
강릉서부시장,강원강릉시,중앙동,37.75509423,128.8907988,154,16,10.38961039
강릉성남시장,강원강릉시,중앙동,37.75373735,128.8990508,126,130,103.1746032
강북북부시장,서울강북구,번1동,37.63623599,127.0303422,50,13,26
강진시장,전북임실군,강진면,35.52906902,127.161038,23,1,4.347826087
강진읍시장,전남강진군,강진읍,34.6403433,126.7741164,84,68,80.95238095
강화풍물시장,인천강화군,강화읍,37.74142155,126.4928692,183,142,77.59562842
개금골목시장,부산부산진구,개금1동,35.1518328,129.0247937,195,97,49.74358974
개금큰시장,부산부산진구,개금1동,35.14853427,129.0178858,67,3,4.47761194
개봉중앙시장,서울구로구,개봉2동,37.49178393,126.8540716,21,15,71.42857143
개봉프라자,서울구로구,고척2동,37.50195711,126.8511199,98,3,3.06122449
거성시장,부산연제구,거제2동,35.19000574,129.0682199,19,4,21.05263158
거제시장,부산연제구,거제3동,35.18188886,129.0726611,84,56,66.66666667
건천시장,경북경주시,건천읍,35.84830099,129.1048106,40,20,50
결초보은시장(구 보은종합시장),충북보은군,보은읍,36.48292036,127.7193209,113,51,45.13274336
경동광성상가,서울동대문구,제기동,37.58099105,127.0388095,102,78,76.47058824
경동시장,서울동대문구,제기동,37.57878423,127.0396587,678,327,48.2300885
경산공설시장,경북경산시,중앙동,35.82051858,128.7357579,204,160,78.43137255
경주성동공설시장,경북경주시,황오동,35.84554647,129.2162805,587,201,34.24190801
경주중앙시장,경북경주시,성건동,35.84396049,129.2067453,716,176,24.58100559
경창상가,경남창원시 ,중앙동,35.22016512,128.6793262,72,12,16.66666667
경창시장,서울양천구,신월2동,37.52493416,126.8421214,50,69,138
경화시장,경남창원시 ,경화동,35.15659522,128.6863693,143,52,36.36363636
계산시장,인천계양구,계산1동,37.5392795,126.7248527,119,122,102.5210084
계양산전통시장,인천계양구,계양2동,37.54845862,126.7392428,124,117,94.35483871
고덕시장,충남예산군,고덕면,36.7439262,126.7052143,30,2,6.666666667
고령대가야시장,경북고령군,대가야읍,35.72730911,128.2666727,105,95,90.47619048
고성시장,경남고성군,고성읍,34.97730013,128.3230484,320,189,59.0625
고성오일시장,제주서귀포시,성산읍,33.45186232,126.9128147,68,4,5.882352941
고척골목시장상점가,서울구로구,고척1동,37.5033751,126.8627093,67,43,64.17910448
고척근린시장,서울구로구,고척2동,37.50195711,126.8511199,69,67,97.10144928
고한구공탄시장(고한시장),강원정선군,고한읍,37.20132181,128.8540542,85,79,92.94117647
고흥전통시장,전남고흥군,고흥읍,34.60835694,127.2866005,121,52,42.97520661
곤양종합시장,경남사천시,곤양면,35.05653289,127.9633464,45,1,2.222222222
골드테마거리,부산부산진구,범천1동,35.14193851,129.0597745,324,154,47.5308642
공덕시장,서울마포구,공덕동,37.54479479,126.9532582,170,26,15.29411765
공릉동도깨비시장,서울노원구,공릉1동,37.62269037,127.0762493,106,123,116.0377358
공주산성시장,충남공주시,웅진동,36.45881772,127.1226143,560,316,56.42857143
공항시장,대구동구,지저동,35.89639261,128.6382422,62,9,14.51612903
과역전통시장,전남고흥군,과역면,34.67945246,127.3622598,35,24,68.57142857
과천새서울프라자시장,경기과천시,별양동,37.42682749,126.9925561,175,91,52
관고전통시장,경기이천시,관고동,37.28081972,127.4403608,127,103,81.1023622
관문상가시장,대구남구,대명11동,35.83654368,128.5572814,297,187,62.96296296
관악신사시장,서울관악구,신사동,37.48679165,126.9170725,104,91,87.5
관악종합시장,서울관악구,신원동,37.48157679,126.9280632,56,3,5.357142857
관촌시장,전북임실군,관촌면,35.67878053,127.2676801,34,3,8.823529412
광덕시장,대구남구,대명9동,35.8371932,128.5824169,100,17,17
광명새마을시장,경기광명시,광명6동,37.47365412,126.8513997,148,102,68.91891892
광명전통시장,경기광명시,광명3동,37.47994816,126.8561647,315,235,74.6031746
광안시장,부산수영구,광안4동,35.16011763,129.1124667,60,10,16.66666667
광양5일시장,전남광양시,광양읍,34.9711607,127.5904533,99,189,190.9090909
광영상설시장,전남광양시,광영동,34.96144588,127.7203697,42,29,69.04761905
광장시장,서울종로구,종로1.2.3.4가동,37.57011251,126.9997072,300,345,115
광천원동시장,충남홍성군,광천읍,36.50232535,126.6250108,161,1,0.621118012
광천전통시장,충남홍성군,광천읍,36.49983774,126.6252464,175,77,44
광희패션몰,서울중구,신당동,37.56867293,127.0119155,1190,15,1.260504202
괴정골목시장,부산사하구,괴정3동,35.0993329,128.9937058,152,161,105.9210526
구례5일시장,전남구례군,구례읍,35.21015153,127.4700805,163,36,22.08588957
구례상설시장,전남구례군,구례읍,35.20962446,127.4657567,39,21,53.84615385
구로시장,서울구로구,구로4동,37.48963005,126.8856198,159,101,63.52201258
구룡포시장,경북포항시 ,구룡포읍,35.99031517,129.5540012,125,130,104
구리전통시장,경기구리시,수택1동,37.5995428,127.1399042,308,240,77.92207792
구매탄시장,경기수원시 ,매탄1동,37.27260368,127.0419177,128,64,50
구미공단종합시장,경북구미시,비산동,36.12063634,128.3715356,51,2,3.921568627
구미산업유통단지,경북구미시,진미동,36.10987823,128.4026464,729,29,3.978052126
구미새마을중앙시장,경북구미시,원평동,36.13084551,128.3297837,228,136,59.64912281
