시장명,지자체,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
강남시장,서울강남구,신사동,상설장,70,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.51876726,127.0206916,4,453,490424,1082,1,1,1,1,1,1,1,100,2,1,2,1
강남시장,서울강남구,신사동,상설장,70,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.51876726,127.0206916,4,453,490424,1082,1,2,1,1,1,1,1,100,1,1,2,2
강남시장,서울동작구,상도1동,상설장,30,매일,"가공식품,기타소매업",Y,Y,37.49693976,126.9535408,8,529,363808,687,1,1,1,1,1,1,1,100,2,1,2,1
강남시장,서울동작구,상도1동,상설장,30,매일,"가공식품,기타소매업",Y,Y,37.49693976,126.9535408,8,529,363808,687,1,2,1,1,1,1,1,100,1,1,2,2
신사상가,서울강남구,압구정동,상설장,90,매일,"농산물,수산물,가공식품,의류/신발",Y,N,37.53228798,127.028402,4,453,490424,1082,1,1,1,1,1,1,1,100,1,1,2,2
영동전통시장,서울강남구,논현1동,상설장,110,매일,"축산물,가공식품,의류/신발,기타소매업",Y,Y,37.50999521,127.0238232,4,453,490424,1082,1,1,1,1,1,1,2,94,1,1,1,2
청담삼익시장,서울강남구,청담동,상설장,183,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.5224448,127.0576204,4,453,490424,1082,1,1,1,1,1,1,2,100,1,1,2,1
고분다리전통시장,서울강동구,천호1동,상설장,106,매일,"농산물,축산물,수산물,가공식품,가정용품",Y,Y,37.54248956,127.1319288,6,682,374106,548,1,2,1,1,1,1,2,100,2,1,1,2
길동복조리시장,서울강동구,길동,상설장,166,매일,"농산물,축산물,수산물,가공식품,음식점업",N,Y,37.53753608,127.1435606,6,682,374106,548,1,1,1,1,1,1,1,70,1,2,1,2
둔촌역전통시장,서울강동구,성내3동,상설장,125,매일,"농산물,축산물,수산물,가공식품,가정용품",Y,Y,37.52805886,127.1349692,6,682,374106,548,1,2,1,1,1,1,1,100,1,1,2,2
명일전통시장,서울강동구,명일1동,상설장,90,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.54953208,127.1449535,6,682,374106,548,1,1,1,1,1,1,2,100,1,1,1,2
성내전통시장,서울강동구,성내2동,상설장,82,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,Y,37.53416804,127.1278893,6,682,374106,548,1,2,1,1,1,1,2,100,1,2,1,2
암사종합시장,서울강동구,암사1동,상설장,113,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.5505465,127.1287154,6,682,374106,548,1,1,1,1,1,1,1,80,1,1,1,2
강북북부시장,서울강북구,번1동,상설장,50,매일,"가공식품,음식점업,기타소매업,근린생활서비스업",Y,Y,37.63623599,127.0303422,11,715,264535,369,1,1,1,1,1,1,1,100,1,1,1,2
동북시장,서울강북구,삼양동,상설장,28,매일,"농산물,축산물,가공식품,근린생활서비스업",Y,Y,37.62042225,127.0190955,11,715,264535,369,1,1,1,1,1,1,1,100,2,1,2,1
수유북부시장,서울강북구,인수동,상설장,25,매일,"기타소매업,근린생활서비스업",Y,Y,37.63675807,127.016487,11,715,264535,369,1,2,1,1,1,1,1,100,1,1,2,2
수유시장,서울강북구,수유1동,상설장,60,매일,"축산물,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.63072891,127.0226681,11,715,264535,369,1,1,1,1,1,1,1,60,1,1,2,1
수유재래시장,서울강북구,수유1동,상설장,110,매일,"농산물,축산물,수산물",Y,Y,37.63153004,127.0223303,11,715,264535,369,1,1,1,1,1,1,1,100,1,1,1,2
수유전통시장(수유골목시장),서울강북구,수유1동,상설장,85,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.63072891,127.0226681,11,715,264535,369,1,1,1,1,1,1,1,90,1,1,1,2
수유중앙시장,서울강북구,수유3동,상설장,40,매일,"농산물,축산물,가공식품,음식점업",Y,Y,37.64033675,127.0211763,11,715,264535,369,1,1,1,1,1,1,1,100,1,1,2,2
수유프라자,서울강북구,수유1동,상설장,88,매일,"농산물,의류/신발,가정용품,음식점업,근린생활서비스업",Y,Y,37.63169253,127.0234675,11,715,264535,369,1,1,1,1,1,1,1,70,1,1,1,1
숭인시장,서울강북구,송천동,상설장,90,매일,"농산물,수산물,가공식품,의류/신발,가정용품",Y,Y,37.61314356,127.0294532,11,715,264535,369,1,2,1,1,1,1,2,100,1,1,2,2
우이시장,서울강북구,수유2동,상설장,31,매일,"가공식품,음식점업,기타소매업,근린생활서비스업",Y,N,37.64603739,127.020016,11,715,264535,369,1,1,1,1,1,2,1,100,1,1,2,1
장미원골목시장,서울강북구,수유2동,상설장,108,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.64463283,127.0160158,11,715,264535,369,1,1,1,1,1,1,2,70,1,1,1,2
까치산시장,서울강서구,화곡8동,상설장,138,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.53153099,126.8478603,9,643,489825,761,1,1,1,1,1,1,1,80,1,1,1,2
남부골목시장,서울강서구,화곡4동,상설장,153,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.5322382,126.8607298,9,643,489825,761,1,1,1,1,1,1,1,100,1,1,1,2
남부화곡시장,서울강서구,화곡4동,상설장,20,매일,"농산물,축산물,수산물,의류/신발,음식점업",Y,Y,37.53307069,126.8589518,9,643,489825,761,1,1,1,1,1,1,1,100,1,1,2,2
대원종합시장,서울강서구,화곡3동,상설장,40,매일,"농산물,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.54448674,126.8364753,9,643,489825,761,1,1,1,1,1,1,1,100,2,1,2,2
등마루시장,서울강서구,등촌1동,상설장,60,매일,"음식점업,기타소매업,근린생활서비스업",Y,Y,37.55666003,126.8602651,9,643,489825,761,1,2,1,1,1,1,1,100,2,1,2,2
방신전통시장,서울강서구,방화1동,상설장,94,매일,"농산물,축산물,수산물",Y,Y,37.57150834,126.812647,9,643,489825,761,1,1,1,1,1,1,1,70,1,1,1,2
신월중앙시장,서울강서구,화곡1동,상설장,30,매일,가공식품,Y,Y,37.52796881,126.8419059,9,643,489825,761,1,2,1,1,1,1,1,100,1,1,2,2
화곡본동시장,서울강서구,화곡본동,상설장,50,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.54288484,126.8441295,9,643,489825,761,1,1,1,1,1,1,2,70,1,1,1,2
화곡중앙골목시장,서울강서구,화곡1동,상설장,58,매일,"농산물,축산물,가정용품,음식점업,기타소매업",Y,Y,37.53488408,126.8395063,9,643,489825,761,1,1,1,1,1,1,1,100,1,1,1,2
관악신사시장,서울관악구,신사동,상설장,104,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48679165,126.9170725,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,1,2
봉일시장,서울관악구,은천동,상설장,24,매일,"농산물,축산물,의류/신발",Y,Y,37.48592467,126.9383804,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,2,1
봉천제일종합시장,서울관악구,청룡동,상설장,30,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.48124954,126.9444156,14,1069,486206,454,1,2,1,1,1,1,2,95,1,1,2,2
봉천중앙시장,서울관악구,중앙동,상설장,30,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48419585,126.9543274,14,1069,486206,454,1,2,1,1,1,1,2,100,1,1,2,2
봉천현대시장,서울관악구,은천동,상설장,32,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48643059,126.946515,14,1069,486206,454,1,2,1,1,1,1,1,90,1,1,1,2
