,지자체,시장명,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률
0,서울강남구,강남시장,임의단체,,70,
1,서울강남구,신사상가,,,90,
2,서울강남구,영동전통시장,법적단체,108,110,0.981818182
3,서울강남구,청담삼익시장,임의단체,,183,
4,서울강동구,고분다리전통시장,법적단체,75,106,0.70754717
5,서울강동구,길동복조리시장,법적단체,156,166,0.939759036
6,서울강동구,둔촌역전통시장,법적단체,116,125,0.928
7,서울강동구,명일전통시장,법적단체,85,90,0.944444444
8,서울강동구,성내전통시장,법적단체,78,82,0.951219512
9,서울강동구,암사종합시장,법적단체,113,113,1
10,서울강북구,강북북부시장,법적단체,29,50,0.58
11,서울강북구,동북시장,임의단체,22,28,0.785714286
12,서울강북구,수유북부시장,임의단체,,25,
13,서울강북구,수유시장,법적단체,56,60,0.933333333
14,서울강북구,수유재래시장,법적단체,110,110,1
15,서울강북구,수유전통시장(수유골목시장),법적단체,85,85,1
16,서울강북구,수유중앙시장,,,40,
17,서울강북구,수유프라자,임의단체,,88,
18,서울강북구,숭인시장,,,90,
19,서울강북구,우이시장,,,31,
20,서울강북구,장미원골목시장,법적단체,85,108,0.787037037
21,서울강서구,까치산시장,법적단체,138,138,1
22,서울강서구,남부골목시장,법적단체,149,153,0.973856209
23,서울강서구,남부화곡시장,,,20,
24,서울강서구,대원종합시장,,,40,
25,서울강서구,등마루시장,,,60,
26,서울강서구,방신전통시장,법적단체,91,94,0.968085106
27,서울강서구,신월중앙시장,임의단체,,30,
28,서울강서구,화곡본동시장,법적단체,50,50,1
29,서울강서구,화곡중앙골목시장,법적단체,54,58,0.931034483
30,서울관악구,관악신사시장,법적단체,100,104,0.961538462
31,서울관악구,봉일시장,,,24,
32,서울관악구,봉천제일종합시장,법적단체,25,30,0.833333333
33,서울관악구,봉천중앙시장,임의단체,,30,
34,서울관악구,봉천현대시장,법적단체,31,32,0.96875
35,서울관악구,신림종합시장,,,26,
36,서울관악구,신림중앙시장,법적단체,35,292,0.119863014
37,서울관악구,신림현대종합상가,법적단체,45,89,0.505617978
38,서울관악구,신신림시장,,,40,
39,서울관악구,신원시장,법적단체,119,121,0.983471074
40,서울관악구,우림시장,법적단체,0,95,0
41,서울관악구,인헌시장,법적단체,50,50,1
42,서울관악구,펭귄시장,법적단체,67,80,0.8375
43,서울광진구,광성시장,법적단체,132,132,1
44,서울광진구,노룬산골목시장(인정시장),법적단체,30,30,1
45,서울광진구,노룬산시장(건물형),임의단체,,58,
46,서울광진구,능동로골목시장,법적단체,76,87,0.873563218
47,서울광진구,신성종합시장(건물형),임의단체,,26,
48,서울광진구,영동교골목시장,법적단체,57,57,1
49,서울광진구,자양전통시장,법적단체,135,136,0.992647059
50,서울광진구,중곡제일전통시장(중곡제일시장),법적단체,137,137,1
51,서울광진구,화양제일골목시장,법적단체,60,63,0.952380952
52,서울구로구,가리봉시장,법적단체,61,66,0.924242424
53,서울구로구,개봉중앙시장,,,21,
54,서울구로구,개봉프라자,임의단체,40,98,0.408163265
55,서울구로구,고척근린시장,법적단체,66,69,0.956521739
56,서울구로구,구로시장,법적단체,145,159,0.911949686
57,서울구로구,남구로시장,법적단체,184,184,1
58,서울금천구,남문시장,법적단체,108,108,1
59,서울금천구,은행나무시장,법적단체,60,62,0.967741935
60,서울금천구,비단길현대시장,법적단체,228,228,1
