지자체,시장명,배송서비스,장보기서비스
서울강남구,강남시장,1,1
서울강남구,신사상가,1,1
서울강남구,영동전통시장,0,1
서울강남구,청담삼익시장,1,1
서울강동구,고분다리전통시장,0,1
서울강동구,길동복조리시장,0,1
서울강동구,둔촌역전통시장,0,0
서울강동구,명일전통시장,1,1
서울강동구,성내전통시장,1,1
서울강동구,암사종합시장,0,0
서울강북구,강북북부시장,1,1
서울강북구,강북종합전통시장,1,1
서울강북구,동북시장,1,1
서울강북구,방천골목시장,1,1
서울강북구,번동북부골목시장,1,1
서울강북구,솔샘시장,1,1
서울강북구,수유북부시장,1,1
서울강북구,수유시장,1,1
서울강북구,수유재래시장,0,1
서울강북구,수유전통시장(수유골목시장),1,0
서울강북구,수유중앙골목시장,1,1
서울강북구,수유중앙시장,1,1
서울강북구,수유프라자,1,1
서울강북구,우이골목시장,1,1
서울강북구,우이시장,1,1
서울강북구,장미원골목시장,1,1
서울강북구,삼양골목시장,1,1
서울강서구,까치산시장,1,1
서울강서구,남부골목시장,1,1
서울강서구,남부화곡시장,1,1
서울강서구,대원종합시장,1,1
서울강서구,등마루시장,1,1
서울강서구,방신전통시장,0,1
서울강서구,신월중앙시장,1,1
서울강서구,화곡본동시장,0,1
서울강서구,화곡중앙골목시장,1,1
서울관악구,강남골목시장,1,1
서울관악구,관악신사시장,0,0
서울관악구,관악종합시장,1,1
서울관악구,미성동도깨비시장,1,1
서울관악구,봉일시장,1,1
서울관악구,봉천제일종합시장,1,1
서울관악구,봉천중앙시장,1,1
서울관악구,봉천현대시장,0,1
서울관악구,신림종합시장,1,1
서울관악구,신림현대종합상가,1,1
서울관악구,신신림시장,1,1
서울관악구,신원시장,1,1
서울관악구,우림시장,1,1
서울관악구,인헌시장,0,0
서울관악구,중부시장,1,1
서울관악구,펭귄시장,0,1
서울관악구,영림시장,1,1
서울광진구,광성시장,0,0
서울광진구,노룬산골목시장(인정시장),1,1
서울광진구,노룬산시장(건물형),1,1
서울광진구,면곡시장(골목형)(미인정),1,1
서울광진구,신성종합시장(건물형),1,1
서울광진구,영동교골목시장,1,1
서울광진구,자양전통시장,0,1
서울광진구,조양시장(건물형),1,1
서울광진구,중곡제일전통시장(중곡제일시장),0,1
서울광진구,화양제일골목시장,1,1
서울구로구,가리봉시장,1,1
서울구로구,개봉중앙시장,1,1
서울구로구,개봉프라자,1,1
서울구로구,고척근린시장,0,1
서울구로구,구로시장,1,1
서울구로구,남구로시장,0,1
서울금천구,남문시장,0,1
서울금천구,은행나무시장,1,1
서울금천구,현대시장,1,1
서울노원구,공릉동도깨비시장,0,1
서울노원구,상계중앙시장,1,1
서울도봉구,방학동도깨비시장,0,1
서울도봉구,백운시장,1,1
서울도봉구,신도봉시장,1,1
서울도봉구,창동골목시장,1,1
서울도봉구,창동신창시장,0,1
서울동대문구,경동광성상가,1,1
서울동대문구,답십리시장,1,1
서울동대문구,답십리현대시장,0,1
서울동대문구,동부시장,1,1
서울동대문구,동서시장,1,1
서울동대문구,서울약령시장,1,1
서울동대문구,전농로터리시장,1,1
서울동대문구,청량리농수산물시장,1,1
서울동대문구,청량리수산시장,1,1
서울동대문구,청량리전통시장,1,1
서울동대문구,청량리종합시장,1,1
서울동대문구,청량리청과물시장,1,1
서울동대문구,청량종합도매시장(깡통시장),1,1
서울동대문구,회기시장,1,1
서울동작구,강남시장,1,1
서울동작구,남성시장,1,1
서울동작구,남성역골목시장,1,1
서울동작구,노량진중앙시장,1,1
서울동작구,만양로 상점가,1,1
서울동작구,본동인정시장,1,1
서울동작구,사당시장,1,1
서울동작구,상도4동 도깨비시장,1,1
서울동작구,상도전통시장,1,1
서울동작구,성대시장,1,1
서울동작구,성대전통시장,0,0
서울동작구,신대방1동 골목시장,1,1
서울동작구,영도시장,1,1
서울동작구,흑석시장,1,1
서울마포구,공덕시장,1,1
서울마포구,마포농수산물시장,1,1
서울마포구,망원동월드컵시장,1,1
서울마포구,망원시장,0,0
서울마포구,서교시장,1,1
서울마포구,아현시장,1,1
서울마포구,영진시장,1,1
서울서대문구,백련시장,0,1
서울서대문구,연희사러가,1,1
서울서대문구,영천시장,0,1
서울서대문구,유진상가,1,1
서울서대문구,인왕시장,1,1
서울서초구,남부종합시장,1,1
서울서초구,양재시장,1,1
서울성동구,금남시장,1,0
서울성동구,뚝도시장,0,1
서울성동구,마장축산물시장,1,1
서울성동구,용답상가시장,1,1
서울성북구,길음시장,1,1
서울성북구,돈암시장,1,1
서울성북구,밤나무골시장,1,1
서울성북구,석관시장,1,1
서울성북구,돌곶이시장(구 석관황금시장),1,1
서울성북구,장위전통시장,1,1
서울성북구,정릉시장,0,1
서울성북구,정릉아리랑시장,1,1
서울송파구,마천시장,1,1
서울송파구,마천중앙시장,1,1
서울송파구,방이시장,1,1
서울송파구,새마을시장,1,1
서울송파구,석촌시장,1,1
서울송파구,풍납시장,0,1
서울양천구,경창시장,1,1
서울양천구,목2동시장,1,1
서울양천구,목동깨비시장 (목3동시장),0,0
서울양천구,목사랑시장 (목4동시장),0,0
서울양천구,신월1동신영시장,0,1
서울양천구,신월3동골목시장,1,1
서울양천구,신월7동골목시장,1,1
서울양천구,신정1동골목시장,1,1
서울양천구,신정2동골목시장,1,1
서울양천구,우성상가시장,1,1
서울양천구,월정로시장,1,1
서울영등포구,대림중앙시장,1,1
서울영등포구,대신시장,1,1
서울영등포구,동남상가,1,1
서울영등포구,삼구시장,1,1
서울영등포구,영신상가,1,1
서울영등포구,영일시장,1,1
서울영등포구,영진시장(A동),1,1
서울용산구,만리시장,1,1
서울용산구,보광시장,1,1
서울용산구,신흥시장,1,1
서울용산구,용산용문시장,0,1
서울용산구,이촌종합시장,1,1
서울용산구,이태원시장,1,1
서울용산구,후암시장,1,1
서울은평구,대림골목시장,1,1
서울은평구,대림시장,1,1
서울은평구,대조시장,1,1
서울은평구,신응암시장,0,1
서울은평구,연서시장,0,1
서울은평구,제일시장,1,1
