시장명,지자체,시도명,시군구명,행정동코드,행정동명,위치경도,위치위도,인구수,시군구시장수,시군구상점수,시설인구수,시장유형명,시장운영기간,화장실존재여부,주차장존재여부
강남시장,서울강남구,서울,강남구,1168051000,신사동,127.0206916,37.51876726,490424,4,453,1082,상설장,매일,Y,Y
신사상가,서울강남구,서울,강남구,1168054500,압구정동,127.028402,37.53228798,490424,4,453,1082,상설장,매일,Y,N
영동전통시장,서울강남구,서울,강남구,1168052100,논현1동,127.0238232,37.50999521,490424,4,453,1082,상설장,매일,Y,Y
청담삼익시장,서울강남구,서울,강남구,1168056500,청담동,127.0576204,37.5224448,490424,4,453,1082,상설장,매일,Y,Y
고분다리전통시장,서울강동구,서울,강동구,1174060000,천호1동,127.1319288,37.54248956,374106,6,682,548,상설장,매일,Y,Y
길동복조리시장,서울강동구,서울,강동구,1174068500,길동,127.1435606,37.53753608,374106,6,682,548,상설장,매일,N,Y
둔촌역전통시장,서울강동구,서울,강동구,1174066000,성내3동,127.1349692,37.52805886,374106,6,682,548,상설장,매일,Y,Y
명일전통시장,서울강동구,서울,강동구,1174053000,명일1동,127.1449535,37.54953208,374106,6,682,548,상설장,매일,Y,Y
성내전통시장,서울강동구,서울,강동구,1174065000,성내2동,127.1278893,37.53416804,374106,6,682,548,상설장,매일,N,Y
암사종합시장,서울강동구,서울,강동구,1174057000,암사1동,127.1287154,37.5505465,374106,6,682,548,상설장,매일,Y,Y
강북북부시장,서울강북구,서울,강북구,1130559500,번1동,127.0303422,37.63623599,264535,11,715,369,상설장,매일,Y,Y
동북시장,서울강북구,서울,강북구,1130553400,삼양동,127.0190955,37.62042225,264535,11,715,369,상설장,매일,Y,Y
수유북부시장,서울강북구,서울,강북구,1130566000,인수동,127.016487,37.63675807,264535,11,715,369,상설장,매일,Y,Y
수유시장,서울강북구,서울,강북구,1130561500,수유1동,127.0226681,37.63072891,264535,11,715,369,상설장,매일,Y,Y
