시장명,지자체,시도명,시군구명,시군구명_원본,행정동코드,행정동명,도로명주소코드,도로명주소명,우편번호,격자코드,위치경도,위치위도
강남시장,서울강남구,서울,강남구,강남구,1168051000,신사동,1.17E+11,서울 강남구 압구정로2길 46,6034,다사576467,127.0206916,37.51876726
신사상가,서울강남구,서울,강남구,강남구,1168054500,압구정동,1.17E+11,서울 강남구 압구정로29길 72-1,6004,다사583482,127.028402,37.53228798
영동전통시장,서울강남구,서울,강남구,강남구,1168052100,논현1동,1.17E+11,서울 강남구 강남대로128길 20,6114,다사579457,127.0238232,37.50999521
청담삼익시장,서울강남구,서울,강남구,강남구,1168056500,청담동,1.17E+11,서울 강남구 학동로101길 26,6077,다사609471,127.0576204,37.5224448
고분다리전통시장,서울강동구,서울,강동구,강동구,1174060000,천호1동,1.17E+11,서울 강동구 구천면로34길 13,5330,다사674493,127.1319288,37.54248956
길동복조리시장,서울강동구,서울,강동구,강동구,1174068500,길동,1.17E+11,서울 강동구 천호대로193길 37,5350,다사685487,127.1435606,37.53753608
둔촌역전통시장,서울강동구,서울,강동구,강동구,1174066000,성내3동,1.17E+11,서울 강동구 양재대로91길 20,5404,다사677477,127.1349692,37.52805886
명일전통시장,서울강동구,서울,강동구,강동구,1174053000,명일1동,1.17E+11,서울 강동구 양재대로138길 20,5295,다사686500,127.1449535,37.54953208
성내전통시장,서울강동구,서울,강동구,강동구,1174065000,성내2동,1.17E+11,서울 강동구 천호대로162길 61,5383,다사671483,127.1278893,37.53416804
암사종합시장,서울강동구,서울,강동구,강동구,1174057000,암사1동,1.17E+11,서울 강동구 상암로11길 17,5264,다사672501,127.1287154,37.5505465
강북북부시장,서울강북구,서울,강북구,강북구,1130559500,번1동,1.13E+11,서울 강북구 한천로123길 26,1066,다사585597,127.0303422,37.63623599
동북시장,서울강북구,서울,강북구,강북구,1130553400,삼양동,1.13E+11,서울 강북구 솔샘로 233,1189,다사575579,127.0190955,37.62042225
수유북부시장,서울강북구,서울,강북구,강북구,1130566000,인수동,1.13E+11,서울 강북구 삼양로91길 11,1090,다사573598,127.016487,37.63675807
수유시장,서울강북구,서울,강북구,강북구,1130561500,수유1동,1.13E+11,서울 강북구 도봉로67길 18,1117,다사578591,127.0226681,37.63072891
수유재래시장,서울강북구,서울,강북구,강북구,1130561500,수유1동,1.13E+11,서울 강북구 도봉로71길 26,1114,다사578592,127.0223303,37.63153004
수유전통시장(수유골목시장),서울강북구,서울,강북구,강북구,1130561500,수유1동,1.13E+11,서울 강북구 도봉로67길 18,1117,다사578591,127.0226681,37.63072891
수유중앙시장,서울강북구,서울,강북구,강북구,1130563500,수유3동,1.13E+11,서울 강북구 노해로17길 21,1076,다사577602,127.0211763,37.64033675
수유프라자,서울강북구,서울,강북구,강북구,1130561500,수유1동,1.13E+11,서울 강북구 도봉로 261,1114,다사579592,127.0234675,37.63169253
숭인시장,서울강북구,서울,강북구,강북구,1130555500,송천동,1.13E+11,서울 강북구 도봉로 45,1211,다사584571,127.0294532,37.61314356
우이시장,서울강북구,서울,강북구,강북구,1130562500,수유2동,1.13E+11,서울 강북구 노해로23길 68,1047,다사576608,127.020016,37.64603739
장미원골목시장,서울강북구,서울,강북구,강북구,1130562500,수유2동,1.13E+11,서울 강북구 삼양로 464,1039,다사573606,127.0160158,37.64463283
까치산시장,서울강서구,서울,강서구,강서구,1150059300,화곡8동,1.15E+11,서울 강서구 강서로12길 14,7760,다사423482,126.8478603,37.53153099
남부골목시장,서울강서구,서울,강서구,강서구,1150057000,화곡4동,1.15E+11,서울 강서구 곰달래로55길 4,7741,다사435482,126.8607298,37.5322382
남부화곡시장,서울강서구,서울,강서구,강서구,1150057000,화곡4동,1.15E+11,서울 강서구 등촌로5길 80,7738,다사433483,126.8589518,37.53307069
대원종합시장,서울강서구,서울,강서구,강서구,1150056000,화곡3동,1.15E+11,서울 강서구 화곡로21길 78,7706,다사413496,126.8364753,37.54448674
등마루시장,서울강서구,서울,강서구,강서구,1150052000,등촌1동,1.15E+11,서울 강서구 화곡로68길 120,7550,다사434510,126.8602651,37.55666003
방신전통시장,서울강서구,서울,강서구,강서구,1150063000,방화1동,1.15E+11,서울 강서구 방화동로16길 32,7604,다사393526,126.812647,37.57150834
신월중앙시장,서울강서구,서울,강서구,강서구,1150054000,화곡1동,1.15E+11,서울 강서구 강서로5나길 109,7780,다사418478,126.8419059,37.52796881
화곡본동시장,서울강서구,서울,강서구,강서구,1150059000,화곡본동,1.15E+11,서울 강서구 까치산로 35,7721,다사420494,126.8441295,37.54288484
화곡중앙골목시장,서울강서구,서울,강서구,강서구,1150054000,화곡1동,1.15E+11,서울 강서구 월정로30길 66,7767,다사416486,126.8395063,37.53488408
관악신사시장,서울관악구,서울,관악구,관악구,1162068500,신사동,1.16E+11,서울 관악구 관천로19길 89,8705,다사484432,126.9170725,37.48679165
봉일시장,서울관악구,서울,관악구,관악구,1162060500,은천동,1.16E+11,서울 관악구 은천로 28,8749,다사503431,126.9383804,37.48592467
봉천제일종합시장,서울관악구,서울,관악구,관악구,1162059500,청룡동,1.16E+11,서울 관악구 청룡2길 29,8785,다사508425,126.9444156,37.48124954
봉천중앙시장,서울관악구,서울,관악구,관악구,1162061500,중앙동,1.16E+11,서울 관악구 관악로 211,8744,다사517429,126.9543274,37.48419585
봉천현대시장,서울관악구,서울,관악구,관악구,1162060500,은천동,1.12E+11,서울 관악구 양녕로 49,8751,다사510431,126.946515,37.48643059
신림종합시장,서울관악구,서울,관악구,관악구,1162068500,신사동,1.16E+11,서울 관악구 남부순환로157길 63,8762,다사484429,126.9170932,37.4846461
신림중앙시장,서울관악구,서울,관악구,관악구,1162072500,조원동,1.16E+11,서울 관악구 조원로16길 27,8767,다사479428,126.9114212,37.48314523
신림현대종합상가,서울관악구,서울,관악구,관악구,1162066500,서림동,1.16E+11,서울 관악구 신림로29길 3-20,8845,다사499418,126.9338049,37.47462652
신신림시장,서울관악구,서울,관악구,관악구,1162074500,삼성동,1.16E+11,서울 관악구 원신2길 34,8846,다사497414,126.9321463,37.47066149
신원시장,서울관악구,서울,관악구,관악구,1162065500,신원동,1.16E+11,서울 관악구 신원로3길 20-3,8774,다사493426,126.9273791,37.48206598
우림시장,서울관악구,서울,관악구,관악구,1162077500,난곡동,1.16E+11,서울 관악구 난곡로26길 4,8856,다사487413,126.9204441,37.47029785
인헌시장,서울관악구,서울,관악구,관악구,1162062500,인헌동,1.16E+11,서울 관악구 남부순환로246나길 14,8793,다사526418,126.9647704,37.47486164
펭귄시장,서울관악구,서울,관악구,관악구,1162072500,조원동,1.16E+11,서울 관악구 조원로16길 27,8767,다사479428,126.9114212,37.48314523
광성시장,서울광진구,서울,광진구,광진구,1121574000,중곡1동,1.12E+11,서울 광진구 능동로47길 30,4910,다사630516,127.0811202,37.5635863
노룬산골목시장(인정시장),서울광진구,서울,광진구,광진구,1121583000,자양2동,1.12E+11,서울 광진구 자양로 44-6,5112,다사634481,127.0862392,37.53218252
노룬산시장(건물형),서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 뚝섬로 491,5080,다사615486,127.0648775,37.5364854
능동로골목시장,서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 뚝섬로30길 23,5085,다사617485,127.0666557,37.53514507
신성종합시장(건물형),서울광진구,서울,광진구,광진구,1121577000,중곡4동,1.12E+11,서울 광진구 용마산로 50,4949,다사636510,127.0880508,37.5580803
영동교골목시장,서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 동일로10길 47,5078,다사614487,127.0642052,37.53752561
