지자체,시장명,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
서울강남구,강남시장,3690,70,0,0,0,70,100,0,170,1,1,1,1,1,1,1,100,2,1,2,1
서울강남구,신사상가,2575,50,4,2,24,50,150,24,224,1,1,1,1,1,1,1,100,1,1,2,2
서울강남구,영동전통시장,13099,110,2,2,0,110,50,0,160,1,1,1,1,1,1,2,94,1,1,1,2
서울강남구,청담삼익시장,2479,140,13,35,0,140,180,0,320,1,1,1,1,1,1,2,100,1,1,2,1
서울강동구,고분다리전통시장,6647,103,3,0,0,103,90,0,193,1,2,1,1,1,1,2,100,2,1,1,2
서울강동구,길동복조리시장,400,143,10,0,32,143,0,32,175,1,1,1,1,1,1,1,70,1,2,1,2
서울강동구,둔촌역전통시장,2800,87,0,0,36,87,50,36,173,1,2,1,1,1,1,1,100,1,1,2,2
서울강동구,명일전통시장,1980,60,0,8,30,60,10,30,100,1,1,1,1,1,1,2,100,1,1,1,2
서울강동구,성내전통시장,2700,73,1,0,4,73,22,4,99,1,2,1,1,1,1,2,100,1,2,1,2
서울강동구,암사종합시장,13198,120,0,0,13,120,100,13,233,1,1,1,1,1,1,1,80,1,1,1,2
서울강북구,강북북부시장,2864,37,13,0,0,37,0,5,42,1,1,1,1,1,1,1,100,1,1,1,2
서울강북구,강북종합전통시장,4880,68,1,0,4,68,20,4,92,1,2,1,1,2,1,2,90,1,1,2,2
서울강북구,동북시장,7077,34,0,1,0,34,15,0,49,1,1,1,1,1,1,1,100,2,1,2,1
서울강북구,방천골목시장,2063,45,0,0,3,45,100,1,146,1,2,1,1,1,1,2,90,1,1,2,2
서울강북구,번동북부골목시장,2063,54,0,0,3,54,0,3,57,1,2,1,1,1,1,2,40,1,1,2,2
서울강북구,솔샘시장,2063,39,0,0,0,39,8,0,47,1,2,1,1,1,1,2,90,1,1,2,2
서울강북구,수유북부시장,3050,21,10,0,0,21,0,0,21,1,2,1,1,1,1,1,100,1,1,2,2
서울강북구,수유시장,7054,60,20,0,0,60,30,0,90,1,1,1,1,1,1,1,60,1,1,2,1
서울강북구,수유재래시장,5367,109,0,0,29,109,153,29,291,1,1,1,1,1,1,1,100,1,1,1,2
서울강북구,수유전통시장(수유골목시장),5159,85,0,0,4,85,115,4,204,1,1,1,1,1,1,1,90,1,1,1,2
서울강북구,수유중앙골목시장,3784,42,3,0,0,42,0,0,42,1,2,1,1,1,1,2,100,2,1,1,2
서울강북구,수유중앙시장,3320,34,6,0,0,34,0,0,34,1,1,1,1,1,1,1,100,1,1,2,2
서울강북구,수유프라자,10350,108,23,0,0,108,20,0,128,1,1,1,1,1,1,1,70,1,1,1,1
서울강북구,우이골목시장,4775,50,3,0,0,50,1,0,51,1,2,1,1,1,1,2,50,2,2,2,2
서울강북구,우이시장,1478,5,0,3,0,5,30,0,35,1,1,1,1,1,2,1,100,1,1,2,1
서울강북구,장미원골목시장,6919,103,5,0,0,103,25,0,128,1,1,1,1,1,1,2,70,1,1,1,2
서울강북구,삼양골목시장,1386,43,2,1,1,43,8,1,52,1,2,1,1,2,2,2,100,1,2,2,2
서울강서구,까치산시장,12385,135,3,0,3,135,80,3,218,1,1,1,1,1,1,1,80,1,1,1,2
서울강서구,남부골목시장,13647,159,1,0,16,159,58,6,223,1,1,1,1,1,1,1,100,1,1,1,2
서울강서구,남부화곡시장,2314,21,1,0,0,21,30,0,51,1,1,1,1,1,1,1,100,1,1,2,2
서울강서구,대원종합시장,2739,30,0,0,0,30,20,0,50,1,1,1,1,1,1,1,100,2,1,2,2
서울강서구,등마루시장,132,10,15,35,0,10,0,0,10,1,2,1,1,1,1,1,100,2,1,2,2
서울강서구,방신전통시장,3609,120,3,0,0,120,34,0,154,1,1,1,1,1,1,1,70,1,1,1,2
서울강서구,신월중앙시장,3300,22,8,0,0,22,0,0,22,1,2,1,1,1,1,1,100,1,1,2,2
서울강서구,화곡본동시장,2835,50,0,1,4,50,80,1,131,1,1,1,1,1,1,2,70,1,1,1,2
서울강서구,화곡중앙골목시장,5122,52,3,1,12,52,8,12,72,1,1,1,1,1,1,1,100,1,1,1,2
서울관악구,강남골목시장,2000,44,2,0,0,44,0,0,44,1,1,1,1,1,1,2,100,1,1,2,2
서울관악구,관악신사시장,7320,98,2,0,0,98,15,0,113,1,1,1,1,1,1,1,100,1,1,1,2
서울관악구,관악종합시장,1500,51,5,0,0,51,0,0,51,1,1,1,1,1,1,1,100,1,1,2,2
서울관악구,미성동도깨비시장,1980,83,0,0,0,83,12,0,95,1,1,1,1,1,1,2,100,1,1,2,2
서울관악구,봉일시장,3960,31,5,0,0,31,25,0,56,1,1,1,1,1,1,1,100,1,1,2,1
서울관악구,봉천제일종합시장,2430,50,0,0,3,50,6,3,59,1,2,1,1,1,1,2,95,1,1,2,2
서울관악구,봉천중앙시장,2400,41,2,0,0,41,15,0,56,1,2,1,1,1,1,2,100,1,1,2,2
서울관악구,봉천현대시장,2439,43,1,1,2,43,32,2,77,1,2,1,1,1,1,1,90,1,1,1,2
서울관악구,신림종합시장,3350,20,6,0,0,20,32,0,52,1,2,1,1,1,1,2,100,1,1,2,2
서울관악구,신림현대종합상가,2190,40,5,54,0,40,0,0,40,1,2,1,1,1,1,1,100,1,1,2,1
서울관악구,신신림시장,1650,6,10,5,0,6,40,0,46,1,1,1,1,1,1,2,100,1,1,2,2
서울관악구,신원시장,3520,119,0,0,0,119,250,0,369,1,1,1,1,1,1,1,100,1,1,1,2
서울관악구,우림시장,2640,22,0,2,0,22,24,0,46,1,1,1,1,1,1,1,100,1,1,2,2
서울관악구,인헌시장,6223,54,0,0,5,54,31,5,90,1,1,1,1,1,1,1,100,1,1,1,2
서울관악구,중부시장,2063,55,0,0,10,55,80,0,135,1,2,1,1,1,1,2,100,2,1,2,2
서울관악구,펭귄시장,3029,67,8,2,6,67,20,6,93,1,2,1,1,2,1,1,100,1,2,2,2
서울관악구,영림시장,2640,52,0,0,0,52,5,0,57,1,2,2,2,2,2,2,50,1,1,2,2
서울광진구,광성시장,1252,133,2,0,5,133,170,5,308,1,2,1,1,1,1,1,100,1,1,1,1
서울광진구,노룬산골목시장(인정시장),4160,46,0,0,6,46,23,6,75,1,2,1,1,1,1,2,100,1,1,1,2
서울광진구,노룬산시장(건물형),1500,19,1,0,0,19,60,0,79,1,2,1,1,1,1,1,100,1,1,1,2
서울광진구,면곡시장(골목형)(미인정),990,22,5,0,0,22,18,2,42,1,1,1,1,1,1,1,33,2,1,2,2
서울광진구,신성종합시장(건물형),2365,15,1,0,0,15,0,15,30,1,2,1,1,1,1,1,100,1,1,2,2
서울광진구,영동교골목시장,8481,59,0,0,0,59,0,0,59,1,1,1,1,1,1,1,100,1,1,1,2
서울광진구,자양전통시장,8670,132,0,0,3,132,0,0,132,1,1,1,1,1,1,1,100,1,1,1,2
서울광진구,조양시장(건물형),6501,28,3,0,0,28,30,0,58,1,2,1,1,1,1,2,95,1,1,2,2
서울광진구,중곡제일전통시장(중곡제일시장),12580,136,3,0,4,136,20,4,160,1,2,1,1,1,1,1,100,1,1,1,1
서울광진구,화양제일골목시장,5162,36,0,0,17,36,10,0,46,1,1,1,1,1,1,1,90,1,2,1,2
서울구로구,가리봉시장,1209,65,5,0,0,65,22,0,87,1,1,1,1,1,1,1,4,1,1,1,2
서울구로구,개봉중앙시장,1565,16,2,1,0,16,0,0,16,1,1,1,1,1,1,1,100,1,1,2,2
서울구로구,개봉프라자,3740,50,49,0,0,50,0,0,50,1,1,1,1,1,1,1,100,1,1,2,1
서울구로구,고척근린시장,1895,64,6,1,15,64,67,15,146,1,1,1,1,1,1,1,100,1,1,1,2
서울구로구,구로시장,8307,148,13,0,18,148,37,18,203,1,1,1,1,1,1,1,80,1,1,1,2
서울구로구,남구로시장,10092,203,10,7,24,203,250,24,477,1,1,1,1,1,1,1,20,1,1,1,2
서울금천구,남문시장,7465,115,1,0,0,115,20,0,135,1,2,1,1,1,1,1,90,1,1,1,2
서울금천구,은행나무시장,4500,58,2,0,10,58,10,10,78,1,2,1,1,1,1,1,100,1,2,2,2
서울금천구,현대시장,13783,230,0,0,41,230,400,41,671,1,1,1,1,1,1,1,100,1,1,1,2
서울노원구,공릉동도깨비시장,2993,110,0,0,10,110,50,12,172,1,1,1,1,1,1,2,100,1,2,1,2
서울노원구,상계중앙시장,9735,62,2,0,9,62,34,10,106,1,1,1,1,1,1,1,100,1,2,1,1
서울도봉구,방학동도깨비시장,252,91,0,0,0,91,160,0,251,1,1,1,1,1,1,1,100,1,1,1,1
서울도봉구,백운시장,6585,55,4,0,3,55,50,3,108,1,2,1,1,2,2,2,90,2,2,2,2
서울도봉구,신도봉시장,1812,19,4,2,8,19,14,8,41,1,2,1,1,1,1,1,100,1,1,1,2
서울도봉구,창동골목시장,1812,59,3,0,3,59,15,4,78,1,1,1,1,1,1,2,100,1,1,1,2
서울도봉구,창동신창시장,3021,76,0,0,7,76,227,7,310,1,1,1,1,1,1,2,90,1,1,1,2
서울동대문구,경동광성상가,6600,82,0,0,5,82,10,5,97,1,1,1,1,1,1,1,100,1,1,1,2
서울동대문구,답십리시장,4419,52,5,0,0,52,10,0,62,1,1,1,1,1,1,1,90,1,1,1,2
서울동대문구,답십리현대시장,2821,85,8,0,1,85,0,0,85,1,2,1,1,1,1,1,99,1,1,1,2
서울동대문구,동부시장,4048,29,2,0,0,29,10,0,39,1,1,1,1,1,1,1,100,1,1,2,2
서울동대문구,동서시장,2838,50,0,0,0,50,20,0,70,1,1,1,1,1,1,1,80,2,1,2,2
서울동대문구,서울약령시장,235100,912,45,50,162,912,1898,160,2970,1,1,1,1,1,1,2,90,1,1,1,1
서울동대문구,전농로터리시장,4243,75,6,4,8,75,25,8,108,1,1,1,1,1,1,1,90,1,1,1,2
서울동대문구,청량리농수산물시장,4950,118,4,0,0,118,122,0,240,1,1,1,1,1,1,1,98,1,1,1,2
서울동대문구,청량리수산시장,8219,100,0,0,10,100,50,10,160,1,2,1,1,2,2,2,85,1,1,2,2
서울동대문구,청량리전통시장,2243,70,1,0,0,70,40,0,110,1,2,1,1,1,1,1,70,1,2,1,2
서울동대문구,청량리종합시장,8368,135,0,0,25,135,270,25,430,1,1,1,1,1,1,1,100,1,1,1,2
서울동대문구,청량리청과물시장,12444,153,0,0,15,153,40,15,208,1,1,1,1,1,1,2,50,1,1,1,2
서울동대문구,청량종합도매시장(깡통시장),3200,50,0,0,0,50,22,0,72,1,2,1,1,1,1,1,100,1,1,2,2
서울동대문구,회기시장,4989,70,8,0,0,70,30,0,100,1,2,1,1,2,1,2,100,1,1,2,2
서울동작구,강남시장,1204,15,15,0,0,15,5,0,20,1,2,1,1,1,1,1,100,1,1,2,2
서울동작구,남성시장,6500,130,10,0,9,130,150,0,280,1,2,1,1,1,1,1,100,1,1,2,2
서울동작구,남성역골목시장,6500,76,0,0,4,76,30,4,110,1,2,1,1,2,2,2,100,1,2,2,2
서울동작구,노량진중앙시장,2063,50,0,0,0,50,13,0,63,1,2,1,1,1,1,1,10,2,1,1,2
서울동작구,만양로 상점가,33000,470,0,0,0,470,0,0,470,1,1,1,1,1,1,1,90,2,1,2,2
서울동작구,본동인정시장,8092,45,8,0,0,45,8,0,53,1,2,1,1,2,2,2,100,2,2,2,2
서울동작구,사당시장,2046,18,0,1,0,18,20,0,38,1,1,1,1,1,1,1,100,1,1,2,2
서울동작구,상도4동 도깨비시장,2063,94,0,0,0,94,0,0,94,1,2,1,1,2,2,2,100,1,1,2,2
서울동작구,상도전통시장,7777,86,0,0,0,86,25,0,111,1,2,1,1,2,2,2,100,2,1,2,2
서울동작구,성대시장,6831,45,3,0,0,45,140,0,185,1,2,1,1,1,1,1,80,1,1,2,2
서울동작구,성대전통시장,7109,87,0,0,2,87,130,2,219,1,1,1,1,2,2,2,100,1,1,2,2
서울동작구,신대방1동 골목시장,2063,80,2,0,0,80,13,0,93,1,1,1,1,1,1,1,70,1,1,1,2
서울동작구,영도시장,4650,41,110,0,0,41,10,0,51,1,2,1,1,1,1,1,100,2,1,1,2
서울동작구,흑석시장,1164,60,0,0,0,60,12,0,72,1,1,1,1,1,1,2,50,2,2,1,2
서울마포구,공덕시장,6500,90,0,0,30,90,0,30,120,1,1,1,1,1,1,1,100,1,1,2,2
서울마포구,마포농수산물시장,33888,140,10,0,0,140,0,0,140,1,1,1,1,1,1,1,100,1,1,1,1
서울마포구,망원동월드컵시장,3369,50,2,0,2,50,24,2,76,1,1,1,1,1,1,1,100,1,1,1,2
서울마포구,망원시장,5459,78,0,0,8,78,247,8,333,1,1,1,1,1,1,1,100,1,1,1,2
서울마포구,서교시장,2640,26,14,0,0,26,75,0,101,1,1,1,1,1,1,1,100,1,1,2,1
서울마포구,아현시장,11937,137,13,0,0,137,83,0,220,1,2,1,1,1,1,1,80,1,1,1,2
서울마포구,영진시장,800,12,38,10,0,12,2,0,14,1,2,1,1,1,1,1,90,1,1,2,2
서울서대문구,백련시장,2148,30,4,0,0,30,19,0,49,1,1,1,1,1,1,1,100,1,1,2,2
서울서대문구,연희사러가,3443,30,7,0,0,30,2,0,32,1,1,1,1,1,1,1,100,1,1,2,2
서울서대문구,영천시장,4403,134,3,0,61,134,75,61,270,1,1,1,1,1,1,1,100,1,1,1,2
서울서대문구,유진상가,9504,64,0,0,0,64,0,0,64,1,1,1,1,1,1,1,70,1,1,2,2
서울서대문구,인왕시장,5280,146,52,15,87,146,10,87,243,1,1,1,1,1,1,1,90,1,1,1,2
서울서초구,남부종합시장,6044,84,50,0,0,84,30,0,114,1,1,1,1,1,1,1,90,1,1,1,2
서울서초구,양재시장,2526,30,0,1,0,30,6,0,36,1,2,1,1,1,1,1,100,2,1,2,2
서울성동구,금남시장,1156,137,0,0,16,137,50,16,203,1,1,1,1,1,1,1,100,1,1,1,2
서울성동구,뚝도시장,4254,130,0,0,1,130,30,1,161,1,1,1,1,1,1,1,100,1,1,1,2
서울성동구,마장축산물시장,11515,843,0,0,76,843,4643,76,5562,1,1,1,1,1,1,1,100,1,1,1,2
서울성동구,용답상가시장,16894,200,0,3,4,200,200,4,404,1,2,1,1,1,1,1,90,1,2,2,2
서울성북구,길음시장,8597,78,8,0,1,78,20,1,99,1,2,1,1,1,1,1,90,1,1,1,2
서울성북구,돈암시장,7315,100,2,1,6,100,57,0,157,1,1,1,1,1,1,1,100,1,1,1,2
서울성북구,밤나무골시장,2063,20,4,0,20,20,0,20,40,1,1,1,1,1,1,1,60,1,1,2,2
서울성북구,석관시장,3418,12,8,0,0,12,25,0,37,1,1,1,1,1,1,2,100,1,1,2,2
서울성북구,돌곶이시장(구 석관황금시장),4241,83,9,1,0,83,35,0,118,1,2,1,1,1,1,1,100,1,1,1,2
서울성북구,장위전통시장,7194,60,31,0,6,60,5,6,71,1,2,1,1,1,1,1,100,1,2,1,2
서울성북구,정릉시장,6236,114,0,0,1,114,86,1,201,1,2,1,1,1,1,1,90,1,1,2,2
서울성북구,정릉아리랑시장,3059,54,0,0,0,54,20,0,74,1,2,1,1,1,1,2,100,2,2,2,2
서울송파구,마천시장,3871,58,7,0,3,58,35,0,93,1,1,1,1,1,1,2,100,1,1,1,2
서울송파구,마천중앙시장,9891,130,7,0,15,130,20,15,165,1,1,1,1,1,1,2,80,1,1,2,2
서울송파구,방이시장,14759,132,6,0,6,132,150,20,302,1,1,1,1,1,1,2,100,1,1,2,2
서울송파구,새마을시장,9283,110,0,0,8,110,27,8,145,1,1,1,1,1,1,1,90,1,1,1,2
서울송파구,석촌시장,21000,60,0,0,30,60,0,30,90,1,1,1,1,1,1,2,100,2,1,2,2
