사업명,지원연도,시장명,지원금액(단위_백만원),지자체
첫걸음기반조성,2021,(주)서시장,112.0,전남여수시
디지털전통시장,2023,(주)신정시장,82.5,울산남구
문화관광형시장,2021,(주)여수수산시장,184.0,전남여수시
문화관광형시장,2022,(주)여수수산시장,160.0,전남여수시
청년몰활성화,2018,1913송정역시장(송정역전매일시장),150.0,광주광산구
청년몰활성화,2019,1913송정역시장(송정역전매일시장),150.0,광주광산구
문화관광형시장,2021,가경터미널시장,220.0,충북청주시
문화관광형시장,2022,가경터미널시장,225.0,충북청주시
문화관광형시장,2019,가수원상점가,460.0,대전서구
첫걸음기반조성,2018,가수원상점가,270.0,대전서구
문화관광형시장,2023,가은아자개시장,210.0,경북문경시
문화관광형시장,2014,가은아자개시장,1420.0,경북문경시
문화관광형시장,2021,가음정시장,220.0,경남창원시
첫걸음기반조성,2019,가음정시장,280.0,경남창원시
문화관광형시장,2017,가좌시장,1620.0,인천서구
문화관광형시장,2021,가좌시장,235.0,인천서구
문화관광형시장,2023,가평잣고을전통시장,220.0,경기가평군
문화관광형시장,2023,간석자유시장,264.0,인천남동구
문화관광형시장,2021,간석자유시장,225.0,인천남동구
첫걸음기반조성,2019,간석자유시장,280.0,인천남동구
문화관광형시장,2018,강남시장,860.0,경기부천시
문화관광형시장,2018,인천강남시장,860.0,인천서구
첫걸음기반조성,2022,강북종합전통시장,135.0,서울강북구
문화관광형시장,2014,강진읍시장,1560.0,전남강진군
문화관광형시장,2019,강진중앙로상가,440.0,전남강진군
문화관광형시장,2021,강진중앙로상가,220.0,전남강진군
문화관광형시장,2022,강진중앙로상가,200.0,전남강진군
첫걸음기반조성,2018,강진중앙로상가,270.0,전남강진군
첫걸음기반조성,2019,개항누리길상점가,270.0,인천중구
청년몰활성화,2018,개항누리길상점가,150.0,인천중구
문화관광형시장,2021,거제고현시장,230.0,경남거제시
문화관광형시장,2022,거제고현시장,200.0,경남거제시
문화관광형시장,2017,거제고현시장,1540.0,경남거제시
문화관광형시장,2021,거창시장,184.0,경남거창군
문화관광형시장,2022,거창시장,160.0,경남거창군
청년몰활성화,2022,거창시장,180.0,경남거창군
청년몰활성화,2023,거창시장,150.0,경남거창군
청년몰활성화,2020,경동시장,150.0,서울동대문구
문화관광형시장,2022,경산공설시장,230.0,경북경산시
첫걸음기반조성,2020,경산공설시장,140.0,경북경산시
첫걸음기반조성,2023,경주성동공설시장,130.0,경북경주시
문화관광형시장,2018,경주중앙시장,860.0,경북경주시
문화관광형시장,2021,경주중앙시장,220.0,경북경주시
디지털전통시장,2023,경창시장,82.5,서울양천구
디지털전통시장,2023,계산시장,97.5,인천계양구
문화관광형시장,2019,계산시장,460.0,인천계양구
문화관광형시장,2021,계산시장,230.0,인천계양구
문화관광형시장,2022,계산시장,225.0,인천계양구
첫걸음기반조성,2018,계산시장,270.0,인천계양구
문화관광형시장,2023,계양산전통시장,264.0,인천계양구
문화관광형시장,2023,고령대가야시장,210.0,경북고령군
문화관광형시장,2017,고령대가야시장,1520.0,경북고령군
문화관광형시장,2014,고산미소시장,1520.0,전북완주군
문화관광형시장,2019,거진시장,440.0,강원고성군
첫걸음기반조성,2018,거진시장,270.0,강원고성군
문화관광형시장,2018,고성공룡시장,1000.0,경남고성군
문화관광형시장,2023,고성시장,220.0,경남고성군
첫걸음기반조성,2018,고성시장,300.0,경남고성군
문화관광형시장,2017,고창전통시장,1700.0,전북고창군
문화관광형시장,2019,고척근린시장,440.0,서울구로구
첫걸음기반조성,2018,고척근린시장,270.0,서울구로구
문화관광형시장,2021,고한구공탄시장(고한시장),176.0,강원정선군
문화관광형시장,2022,고한구공탄시장(고한시장),160.0,강원정선군
