시장명,지자체,청년몰점포수
삼척중앙시장,강원삼척시,19
설악로데오상점가,강원속초시,19
미로예술원주중앙시장(원주중앙시장),강원원주시,17
정선아리랑시장,강원정선군,10
육림고개 상점가,강원춘천시,18
영동시장,경기수원시,23
통복시장,경기평택시,12
김해전통시장(김해동상시장),경남김해시,14
진주중앙시장,경남진주시,9
진주중앙지하도상가 에나몰,경남진주시,20
북부상가시장,경북경주시,12
선산봉황시장,경북구미시,16
(유)문경시중앙시장,경북문경시,7
안동중앙신시장,경북안동시,15
현풍백년도깨비시장,대구달성군,19
산격종합시장,대구북구,10
중앙메가프라자,대전중구,10
서면시장,부산부산진구,14
경동시장,서울동대문구,20
이대앞스타트업상점가,서울서대문구,12
신정평화시장,울산남구,11
강화중앙시장,인천강화군,2
신포시장,인천중구,4
중앙시장,전남여수시,17
군산공설시장,전북군산시,10
삼례시장,전북완주군,9
서부시장상점가(서부시장 통합),전북전주시,6
진안고원시장,전북진안군,10
제주중앙로상점가,제주제주시,15
금산금빛시장(금산시장),충남금산군,12
천안명동대흥로상점가,충남천안시,11
제천중앙시장,충북제천시,2
관아골상가,충북충주시,13
