사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,주문진건어물시장,강원강릉시,주문진읍,7559,8,73,9.0,2,1.0,294208.0,2.0,0,3336,0,2.1,0
문화관광형시장,거진시장,강원고성군,거진읍,3121,5,61,1.0,1,0.0,35330.0,0.0,0,1012,0,1.2,0
문화관광형시장,북평민속시장,강원동해시,북평동,3763,0,15,1.0,1,0.0,112401.0,0.0,17,4058,0,1.7,0
문화관광형시장,삼척중앙시장,강원삼척시,남양동,3281,13,272,9.0,6,0.0,92411.0,3.0,13,1557,0,0.6,7
청년몰활성화,삼척중앙시장,강원삼척시,남양동,3281,13,272,9.0,6,0.0,92411.0,3.0,13,1557,0,0.6,7
문화관광형시장,양양전통시장,강원양양군,양양읍,4394,4,61,3.0,2,0.0,37121.0,0.0,20,3370,0,1.2,5
문화관광형시장,영월종합상가시장,강원영월군,영월읍,7225,71,67,4.0,4,0.0,51337.0,1.0,33,5812,0,1.0,7
청년몰활성화,미로예술원주중앙시장(원주중앙시장),강원원주시,중앙동,1305,45,281,18.0,1,2.0,450852.0,1.0,51,371,0,4.0,5
문화관광형시장,자유시장,강원원주시,중앙동,1305,45,281,18.0,1,2.0,450852.0,1.0,50,371,0,4.0,5
문화관광형시장,미로예술원주중앙시장(원주중앙시장),강원원주시,중앙동,1305,45,281,18.0,1,2.0,450852.0,1.0,51,371,0,4.0,5
문화관광형시장,중앙시민전통시장,강원원주시,중앙동,1305,44,267,18.0,1,2.0,450852.0,1.0,52,371,0,4.0,5
문화관광형시장,고한구공탄시장(고한시장),강원정선군,고한읍,1556,6,30,2.0,1,0.0,48956.0,0.0,0,1073,0,0.6,4
청년몰활성화,정선사북시장,강원정선군,사북읍,1690,10,40,2.0,2,0.0,48956.0,0.0,0,1036,0,0.6,3
문화관광형시장,정선사북시장,강원정선군,사북읍,1690,10,40,2.0,2,0.0,48956.0,0.0,0,1036,0,0.6,3
청년몰활성화,정선아리랑시장,강원정선군,정선읍,3747,14,64,2.0,4,1.0,48956.0,0.0,0,2525,0,0.6,8
문화관광형시장,임계사통팔달시장,강원정선군,임계면,2007,2,18,2.0,1,0.0,48956.0,0.0,0,412,0,0.6,0
문화관광형시장,춘천풍물시장,강원춘천시,강남동,6301,17,83,197.0,30,1.0,354204.0,9.0,64,8914,0,2.6,8
문화관광형시장,황지자유시장,강원태백시,황연동,1921,3,47,9.0,1,0.0,55903.0,0.0,9,789,0,1.3,0
문화관광형시장,봉평전통시장(봉평시장),강원평창군,봉평면,2510,9,10,9.0,1,1.0,55034.0,0.0,0,1183,0,1.4,1
문화관광형시장,진부전통시장,강원평창군,진부면,3829,16,15,9.0,3,0.0,55034.0,1.0,2,1728,0,1.4,2
문화관광형시장,가평잣고을전통시장,경기가평군,가평읍,7034,19,69,1.0,7,0.0,77077.0,0.0,35,5518,0,0.7,6
문화관광형시장,산본시장,경기군포시,산본1동,5132,17,224,1.0,27,0.0,309680.0,9.0,136,5198,0,4.3,14
문화관광형시장,강남시장,경기부천시,부천동,24170,7,124,2.0,13,1.0,947221.0,6.0,86,29278,0,4.6,11
문화관광형시장,부천상동시장,경기부천시,중동,10804,10,190,2.0,26,0.0,947221.0,12.0,134,14362,0,4.6,8
문화관광형시장,부천자유시장,경기부천시,대산동,22785,12,261,2.0,16,0.0,947221.0,3.0,99,25975,9,4.6,26
디지털전통시장,중동사랑시장(부천중동시장),경기부천시,중동,10804,12,171,2.0,24,0.0,947221.0,14.0,140,14362,0,4.6,21
문화관광형시장,중동사랑시장(부천중동시장),경기부천시,중동,10804,12,171,2.0,24,0.0,947221.0,14.0,140,14362,0,4.6,21
문화관광형시장,역곡상상시장(역곡북부시장),경기부천시,부천동,24170,12,168,2.0,11,0.0,947221.0,2.0,95,29278,5,4.6,8
문화관광형시장,원미종합시장,경기부천시,부천동,24170,9,187,2.0,12,0.0,947221.0,4.0,84,29278,0,4.6,4
문화관광형시장,못골종합시장,경기수원시,지동,3814,5,237,5.0,8,3.0,1398755.0,6.0,61,2767,1,2.8,14
문화관광형시장,연무시장,경기수원시,연무동,5241,4,237,5.0,12,1.0,1398755.0,1.0,53,5162,0,2.8,6
디지털전통시장,못골종합시장,경기수원시,지동,3814,5,237,5.0,8,3.0,1398755.0,6.0,61,2767,1,2.8,14
문화관광형시장,영동시장,경기수원시,행궁동,3637,4,247,5.0,7,3.0,1398755.0,4.0,48,2996,0,2.8,14
청년몰활성화,영동시장,경기수원시,행궁동,3637,4,247,5.0,7,3.0,1398755.0,4.0,48,2996,0,2.8,14
문화관광형시장,정자시장,경기수원시,정자2동,7617,5,209,5.0,13,1.0,1398755.0,6.0,65,13546,0,2.8,2
디지털전통시장,화서시장,경기수원시,화서1동,6075,1,241,5.0,11,0.0,1398755.0,4.0,69,7233,0,2.8,3
문화관광형시장,화서시장,경기수원시,화서1동,6075,1,241,5.0,11,0.0,1398755.0,4.0,69,7233,0,2.8,3
디지털전통시장,안양중앙인정시장,경기안양시,안양4동,2287,0,196,23.0,13,0.0,610558.0,0.0,112,2205,7,3.5,16
문화관광형시장,양수리전통시장(양평양수리시장),경기양평군,양서면,5768,0,110,6.0,1,1.0,142744.0,0.0,17,3272,0,0.9,3
문화관광형시장,용문천년시장,경기양평군,용문면,6927,2,119,6.0,5,0.0,142744.0,0.0,15,4546,0,0.9,1
문화관광형시장,여주한글시장(여주중앙로상점가),경기여주시,중앙동,5099,24,124,2.0,8,1.0,132836.0,1.0,35,7714,0,1.5,2
문화관광형시장,전곡재래시장,경기연천군,전곡읍,5852,8,100,3.0,5,0.0,54155.0,1.0,35,5892,0,2.3,1
문화관광형시장,오색시장,경기오산시,중앙동,6470,19,155,1.0,9,3.0,275840.0,4.0,64,13027,1,3.9,10
문화관광형시장,용인중앙시장,경기용인시,중앙동,6060,16,121,11.0,9,3.0,1161144.0,3.0,61,9449,0,3.1,10
문화관광형시장,부곡도깨비시장,경기의왕시,부곡동,7426,3,118,1.0,11,0.0,178446.0,1.0,71,9579,1,3.0,5
