사업명,지원연도,시장명,지원금액(단위_백만원),지자체,배송서비스,장보기서비스,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만),시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,청년몰점포수,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,가맹점수,가맹률
첫걸음기반조성,2021,(주)서시장,112.0,전남여수시,1.0,1.0,서강동,상설장,209.0,매일,"수산물,가공식품,의류/신발,가정용품,기타소매업",Y,Y,34.74179248,127.7286157,14.0,1443.0,218317.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1979.0,162.0,47.0,0.0,0.0,162.0,6.0,0.0,168.0,,법적단체,119.0,209.0,0.569377990430622,,
디지털전통시장,2023,(주)신정시장,82.5,울산남구,1.0,1.0,신정1동,상설장,87.0,매일,"수산물,가공식품,의류/신발,기타소매업,근린생활서비스",Y,N,35.54233752,129.3102795,9.0,1151.0,261032.0,226.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1254.0,94.0,5.0,6.0,2.0,94.0,20.0,2.0,116.0,,법적단체,78.0,87.0,0.896551724137931,,
문화관광형시장,2021,(주)여수수산시장,184.0,전남여수시,1.0,1.0,중앙동,상설장,115.0,매일,"수산물,가공식품",Y,N,34.73814206,127.7317636,14.0,1443.0,218317.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1650.0,115.0,0.0,0.0,0.0,115.0,12.0,0.0,127.0,,법적단체,115.0,115.0,1.0,99.0,86.08695652173914
문화관광형시장,2022,(주)여수수산시장,160.0,전남여수시,1.0,1.0,중앙동,상설장,115.0,매일,"수산물,가공식품",Y,N,34.73814206,127.7317636,14.0,1443.0,218317.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1650.0,115.0,0.0,0.0,0.0,115.0,12.0,0.0,127.0,,법적단체,115.0,115.0,1.0,99.0,86.08695652173914
청년몰활성화,2018,1913송정역시장,150.0,광주광산구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년몰활성화,2019,1913송정역시장,150.0,광주광산구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2021,가경터미널시장,220.0,충북청주시,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8389.0,82.0,2.0,0.0,4.0,82.0,38.0,4.0,124.0,,법적단체,81.0,81.0,1.0,,
문화관광형시장,2022,가경터미널시장,225.0,충북청주시,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8389.0,82.0,2.0,0.0,4.0,82.0,38.0,4.0,124.0,,법적단체,81.0,81.0,1.0,,
문화관광형시장,2019,가수원상점가,460.0,대전서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600.0,75.0,0.0,0.0,30.0,75.0,35.0,30.0,140.0,,,,,,,
첫걸음기반조성,2018,가수원상점가,270.0,대전서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600.0,75.0,0.0,0.0,30.0,75.0,35.0,30.0,140.0,,,,,,,
