사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원),상인회명,상인회연락처
문화관광형시장,2022,2022~2023,서울,광진구,자양전통시장,220,자양시장상점가진흥사업협동조합,02-458-1624
문화관광형시장,2022,2022~2023,서울,노원구,공릉동도깨비시장,230,공릉동도깨비시장상인회,02-976-4143
문화관광형시장,2022,2022~2023,서울,은평구,연서시장,220,연서시장상인회,02-255-1272
문화관광형시장,2022,2022~2023,서울,서대문구,영천시장,220,영천시장상인회,02-363-5350
문화관광형시장,2022,2022~2023,서울,양천구,신월1동신영시장,230,신월1동신영시장상인회,02-2604-3319
문화관광형시장,2022,2022~2023,부산,부산진구,부산평화시장,252,사)부산평화시장번영회,051-646-6561~3
문화관광형시장,2022,2022~2023,부산,사하구,신평골목시장,264,사)신평골목시장상인회,051-206-4493
문화관광형시장,2022,2022~2023,부산,연제구,연동골목시장,264,연동골목시장상인회,051-862-8364
문화관광형시장,2022,2022~2023,부산,수영구,민락골목시장,264,민락골목시장상인회,051-751-5264
문화관광형시장,2022,2022~2023,부산,기장군,기장시장,220,사)기장시장번영회,051-721-3963
문화관광형시장,2022,2022~2023,대구,달성군,현풍백년도깨비시장,176,현풍백년도깨비시장상인회,053-611-2420
문화관광형시장,2022,2022~2023,인천,미추홀구,용현시장,276,인천용현시장상인회,032-886-9318
문화관광형시장,2022,2022~2023,인천,남동구,구월시장,276,구월시장상인회,032-469-2525
문화관광형시장,2022,2022~2023,인천,부평구,부평종합시장,252,부평종합시장상인회,032-516-0655
문화관광형시장,2022,2022~2023,인천,서구,정서진중앙시장,276,정서진중앙시장상인회,032-575-5002
문화관광형시장,2022,2022~2023,광주,동구,금남지하도상가,264,사)금남지하도상가상인회,
문화관광형시장,2022,2022~2023,광주,서구,양동건어물시장,241,양동건어물시장상인회,062-364-50401
문화관광형시장,2022,2022~2023,광주,남구,봉선시장,264,봉선시장상인회,062-671-4808
문화관광형시장,2022,2022~2023,광주,북구,패션의거리,264,용봉동 패션의거리상인회,062-716-3033
문화관광형시장,2022,2022~2023,경기,수원시,정자시장,230,정자시장상인회,031-252-0290
문화관광형시장,2022,2022~2023,경기,부천시,부천상동시장,210,부천상동시장상인회,032-611-3691
문화관광형시장,2022,2022~2023,경기,부천시,역곡상상시장,220,역곡상상시장상인회,032-343-8562
문화관광형시장,2022,2022~2023,경기,오산시,오색시장,210,사)오산오색시장상인회,031-376-4142
문화관광형시장,2022,2022~2023,경기,파주시,광탄시장,184,광탄전통시장상인회,031-947-0261
문화관광형시장,2022,2022~2023,경기,양평군,용문천년시장,184,용문천년시장상인회,031-771-6172
문화관광형시장,2022,2022~2023,경기,이천시,예스파크상점가,184,예스파크상가번영회,
문화관광형시장,2022,2022~2023,강원,태백시,황지자유시장,230,황지자유시장조합,033-552-2634
문화관광형시장,2022,2022~2023,강원,삼척시,삼척중앙시장,230,삼척중앙시장조합,033-572-0909
문화관광형시장,2022,2022~2023,강원,평창군,봉평전통시장,176,봉평전통시장상인회,033-333-1726
문화관광형시장,2022,2022~2023,충북,청주시,직지시장,220,청주직지시장상인회,070-8100-4047
문화관광형시장,2022,2022~2023,충북,제천시,내토전통시장,176,내토전통시장상인회,043-651-0053
문화관광형시장,2022,2022~2023,충북,음성군,음성시장,230,음성시장상인회,043-873-1256
문화관광형시장,2022,2022~2023,충남,보령시,보령중앙시장,220,보령중앙시장상인회,041-936-4554
문화관광형시장,2022,2022~2023,전북,진안군,진안고원시장,176,진안고원시장상인회,063-433-4554
문화관광형시장,2022,2022~2023,전북,무주군,무주반딧불시장,176,무주시장상인회,063-324-0901
문화관광형시장,2022,2022~2023,전남,광양시,광양5일시장,184,광양5일시장 상인회,061-762-6805
문화관광형시장,2022,2022~2023,전남,광양시,중마시장,176,중마시장상인회,061-795-3484
문화관광형시장,2022,2022~2023,경북,경산시,경산공설시장,230,(사)경산공설시장 상인회,053-816-9933
문화관광형시장,2022,2022~2023,경남,창원시,봉곡민속체험시장,230,봉곡민속체험시장상인회,055-267-1500
문화관광형시장,2022,2022~2023,경남,진주시,자유시장,176,(사)자유시장번영회,055-752-3095
문화관광형시장,2022,2022~2023,제주,제주시,중앙로상점가,184,중앙로상점가상인회,070-8900-8300
문화관광형시장,2023,2023~2024,서울,관악구,관악신사시장,252,관악신사시장상인회,02-855-1994
문화관광형시장,2023,2023~2024,서울,강동구,길동복조리시장,264,길동복조리시장 상인회,070-4896-2544
문화관광형시장,2023,2023~2024,서울,강서구,방신전통시장,252,방신전통시장상인회,02-2666-4080
문화관광형시장,2023,2023~2024,서울,종로구,통인시장,210,통인시장상인회,02-722-0911
문화관광형시장,2023,2023~2024,서울,관악구,인헌시장,252,인헌시장상인회,02-877-2665
문화관광형시장,2023,2023~2024,부산,수영구,수영팔도시장,264,수영팔도시장번영회,051-751-8585
문화관광형시장,2023,2023~2024,부산,동구,부산진시장,276,사단법인 부산진시장번영회,051-646-7043
문화관광형시장,2023,2023~2024,부산,사하구,장림골목시장,252,장림골목시장 상인회,051-261-5354
문화관광형시장,2023,2023~2024,인천,계양구,계양산전통시장,264,계양산전통시장 상인회,032-545-7780
문화관광형시장,2023,2023~2024,인천,남동구,간석자유시장,264,간석자유시장 상인회,
문화관광형시장,2023,2023~2024,인천,서구,인천축산물시장,264,인천축산물시장 상인회,032-575-5511
문화관광형시장,2023,2023~2024,인천,남동구,소래포구전통어시장,264,소래포구전통어시장 상인회,032-446-7536
문화관광형시장,2023,2023~2024,울산,중구,태화종합시장,264,태화종합시장 상인회,052-211-7804
문화관광형시장,2023,2023~2024,울산,동구,월봉시장,252,월봉시장 상인회,052-234-8997
문화관광형시장,2023,2023~2024,경기,연천군,전곡재래시장,210,전곡전통시장 상인회,031-832-2981
문화관광형시장,2023,2023~2024,경기,평택시,송탄시장,220,송탄시장 상인회,031-662-3368
문화관광형시장,2023,2023~2024,경기,의왕시,부곡도깨비시장,210,부곡도깨비시장상인회,031-462-0994
문화관광형시장,2023,2023~2024,경기,가평군,가평잣고을시장,220,가평잣고을시장 상인회,031-582-8181
문화관광형시장,2023,2023~2024,강원,평창군,진부전통시장,210,진부전통시장상인회,033-335-7330
문화관광형시장,2023,2023~2024,강원,강릉시,중앙·성남시장,220,강릉중앙·성남통합시장상인회,033-648-4477
문화관광형시장,2023,2023~2024,충북,괴산군,괴산전통시장,220,괴산전통시장,043-832-0250
문화관광형시장,2023,2023~2024,충북,증평군,증평장뜰시장,210,증평장뜰시장 상인회,043-838-5501
문화관광형시장,2023,2023~2024,충남,아산시,온양온천시장(온양전통시장),264,온양온천시장상인회,041-534-2008
문화관광형시장,2023,2023~2024,충남,태안군,태안서부재래시장,220,태안서부시장상인회,041-672-2425
문화관광형시장,2023,2023~2024,전북,전주시,전주신중앙시장(신중앙시장),264,신중앙시장 상인회,063-274-7535
