구분,시도,시군구,시장명(청년몰),상호명,업종,소재지
1,경기,평택시,통복시장,막치삼,음식업,경기도 평택시 통복동 95-30
2,경기,평택시,통복시장,프라온,음식업,경기도 평택시 통복동 95-30
3,경기,평택시,통복시장,지인공간,공방,경기도 평택시 통복동 95-85
4,경기,평택시,통복시장,마크라메스튜디오,공방,경기도 평택시 통복동 95-35
5,경기,평택시,통복시장,떡퍼맨&걸,음식업,경기도 평택시 통복동 95-49
6,경기,평택시,통복시장,불독스테이크,음식업,경기도 평택시 통복동 95-31
7,경기,평택시,통복시장,예원닭강정,음식업,경기도 평택시 통복동 95-35
8,경기,평택시,통복시장,통복이네 떡갈비,음식업,경기도 평택시 통복동 95-33
9,경기,평택시,통복시장,나우텔레콤,도소매업,경기도 평택시 통복동 95-87
10,경기,평택시,통복시장,오츠카레,음식업,경기도 평택시 통복동 95-104
11,경기,평택시,통복시장,히가시라멘(동식당),음식업,경기도 평택시 통복동 95-104
12,경기,평택시,통복시장,SWEET 1981,음식업,경기도 평택시 통복동 95-31
13,충남,천안시,천안명동대흥로상점가,짙은플러스,도소매업,충청남도 천안시 동남구 은행길 5-4 흥흥발전소 지하 1층 아이어클락
14,충남,천안시,천안명동대흥로상점가,위치앤매직샵,서비스업,충남 천안시 동남구 은행길 5-4 흥흥발전소 3층 백설화
15,충남,천안시,천안명동대흥로상점가,JUVE,음식업,충청남도 천안시 동남구 은행길 5-4 흥흥발전소 1층 쥬브
16,충남,천안시,천안명동대흥로상점가,브라운,공방,충남 천안시 동남구 은행길 5-4 흥흥발전소 3층 송글
17,충남,천안시,천안명동대흥로상점가,앙두,공방,충남 천안시 동남구 은행길 5-4 흥흥발전소 지하1층
18,충남,천안시,천안명동대흥로상점가,티카페앙,음식업,충남 천안시 동남구 은행길 5-4 흥흥발전소 1층 알로스타
19,충남,천안시,천안명동대흥로상점가,혁이샌드,음식업,충남 천안시 동남구 은행길 5-4 흥흥발전소 1층 이거버거
20,충남,천안시,천안명동대흥로상점가,꼬다리 꼬마김밥,음식업,충청남도 천안시 동남구 은행길 5-4 1층 디어샐러드
21,충남,천안시,천안명동대흥로상점가,도깨비매,도소매업,충청남도 천안시 동남구 은행길 5-4 2층
22,충남,천안시,천안명동대흥로상점가,달빛공작소,공방,충남 천안시 동남구 은행길 5-4 흥흥발전소 3층 달빛공작소
23,충남,천안시,천안명동대흥로상점가,오늘안녕,도소매업,충청남도 천안시 동남구 은행길 5-4
24,경남,진주시,진주중앙지하도상가,오손도손,공방,경상남도 진주시 진주대로 1035 지하도상가 D동 14호
25,경남,진주시,진주중앙지하도상가,로앤유,도소매업,경상남도 진주시 진주대로 1035 지하도상가 D동 6호 
26,경남,진주시,진주중앙지하도상가,"여기,잇다",공방,경상남도 진주시 진주대로 1035 진주지하상가 D동 12호
27,경남,진주시,진주중앙지하도상가,프레임팝,도소매업,경상남도 진주시 진주대로 1035 진주지하상가 D동 10호
28,경남,진주시,진주중앙지하도상가,소소한상점,도소매업,경상남도 진주시 진주대로 1035  진주지하상가 D동 18호
29,경남,진주시,진주중앙지하도상가,도깨비풀,공방,경상남도 진주시 진주대로 1035 지하도상가 D동 8호
30,경남,진주시,진주중앙지하도상가,인트로,공방,경상남도 진주시 진주대로 1035 지하도상가 D동 9호
31,경남,진주시,진주중앙지하도상가,퍼세주얼리디자인스튜디오,공방,경상남도 진주시 진주대로 1035 지하도상가 D동 7호
32,경남,진주시,진주중앙지하도상가,두링,공방,경상남도 진주시 진주대로 1035 지하도상가 D동 11호
33,경남,진주시,진주중앙지하도상가,꽃으로물들다,공방,경상남도 진주시 진주대로 1035 지하상가 D동 20호 
34,경남,진주시,진주중앙지하도상가,크러쉬온네일,서비스업,경상남도 진주시 진주대로 1035 지하상가 D동 13호 
35,경남,진주시,진주중앙지하도상가,진주유등빵,음식업,경상남도 진주시 진주대로 1035 지하상가 D동 1호 
36,경남,진주시,진주중앙지하도상가,무드레시피,음식업,경상남도 진주시 진주대로 1035 지하상가 D동 4호 
37,경남,진주시,진주중앙지하도상가,미니마니모,음식업,경상남도 진주시 진주대로 1035 지하상가 D동 2호
38,경남,진주시,진주중앙지하도상가,두포어,공방,경상남도 진주시 진주대로 1035 지하상가 D동 19호
39,경남,진주시,진주중앙지하도상가,내가좋아하는,서비스업,경상남도 진주시 진주대로 1035 지하상가 D동 16호
40,경남,진주시,진주중앙지하도상가,진주해마루팜,도소매업,경상남도 진주시 진주대로 1035 지하상가 D동 15호
41,경남,진주시,진주중앙지하도상가,버프,도소매업,경상남도 진주시 진주대로 1035 지하상가 D동 17호
42,경남,진주시,진주중앙지하도상가,렌즈타운,도소매업,경상남도 진주시 진주대로 1035 지하상가 D동 3호 
43,경남,진주시,진주중앙지하도상가,착한차가,도소매업,경상남도 진주시 진주대로 1035 지하상가 D동 5호
44,대전,중구,중앙메가프라자,퀸 사주타로,서비스업,"대전광역시 동구 중앙로200번길 99, 3층 3호（원동）"
45,대전,중구,중앙메가프라자,나풀나풀,공방,"대전광역시 동구 중앙로200번길 99, 3층 4호（원동）"
46,대전,중구,중앙메가프라자,수제막걸리펍주로,음식업,"대전광역시 동구 중앙로200번길 99, 3층 7호（원동）"
47,대전,중구,중앙메가프라자,후니네수산,음식업,"대전광역시 동구 중앙로200번길 99, 3층 10호（원동）"
48,대전,중구,중앙메가프라자,누반커（nubanker）,음식업,"대전광역시 동구 중앙로200번길 99, 3층 10호（원동）"
49,대전,중구,중앙메가프라자,머스마빱（MUSMA BBAP）,음식업,"대전광역시 동구 중앙로200번길 99, 3층 12호（원동）"
50,대전,중구,중앙메가프라자,옐로우몽키즈,음식업,"대전광역시 동구 중앙로200번길 99, 3층 13호（원동"
51,대전,중구,중앙메가프라자,데블리시우스,음식업,"대전광역시 동구 중앙로200번길 99, 3층 5호（원동）"
52,대전,중구,중앙메가프라자,희딘쿡（Heedincook）,음식업,"대전광역시 동구 중앙로200번길 99, 3층 18호（원동）"
53,대전,중구,중앙메가프라자,청년구단협동조합,음식업,"대전광역시 동구 중앙로200번길 99, 3층 21호（원동）"
54,충북,제천시,제천중앙시장,찰보리빵집,음식업,"충북 제천시 풍양로 108, 1층 나동 150호"
55,충북,제천시,제천중앙시장,한방굼벵이´한굼´,도소매업,충북 제천시 풍양로 108 중앙시장상가 2층125호
56,서울,서대문구,이대앞스타트업상점가,위샐러듀,음식업,"서대문구 이화여대길 52-31, 1층"
57,서울,서대문구,이대앞스타트업상점가,셔틀즈,음식업,"서대문구 이화여대길 56-3, 1층"
58,서울,서대문구,이대앞스타트업상점가,호미반(前브이경양식),음식업,"서대문구 이화여대길 88-19, 2층"
59,서울,서대문구,이대앞스타트업상점가,꼬끼오분식(前맛잇스시),음식업,서대문구 이화여대길 72-5
60,서울,서대문구,이대앞스타트업상점가,여래여거,음식업,"서대문구 이화여대길 56-3, 1층"
61,서울,서대문구,이대앞스타트업상점가,체리블로썸,음식업,서대문구 이화여대길 52-11
62,서울,서대문구,이대앞스타트업상점가,리또리또,음식업,서대문구 이화여대길 52-33
63,서울,서대문구,이대앞스타트업상점가,PICQUET(前AKE),공방,"서대문구 이화여대길 88-12, 지하1층"
64,서울,서대문구,이대앞스타트업상점가,베이바이홍,서비스업,서대문구 이화여대길 88-19
65,서울,서대문구,이대앞스타트업상점가,켈리스카페,음식업,"서대문구 이화여대길 72-6, 지하"
66,서울,서대문구,이대앞스타트업상점가,의원상,음식업,"서대문구 대현동 34-41번지, 2층"
67,서울,서대문구,이대앞스타트업상점가,민화공방가인,공방,"서대문구 이화여대길 52-45,107호"
68,강원,원주시,원주중앙시장,담담정,음식업,"강원도 원주시 중앙시장길 6, 라동 2층 6, 8호"
69,강원,원주시,원주중앙시장,담연,공방,"강원도 원주시 중앙시장길 6, 라동 2층 14호（중앙동, 원주중앙시장）"
70,강원,원주시,원주중앙시장,문,음식업,"강원도 원주시 중앙시장길 6, 라동 2층 65, 78호"
71,강원,원주시,원주중앙시장,자매제과,음식업,"강원도 원주시 중앙시장길 6, 라동 2층 71, 76,77호"
72,강원,원주시,원주중앙시장,촘촘,공방,"강원도 원주시 중앙시장길 6, 라동 58, 39호（중앙동 원주중앙시장）"
73,강원,원주시,원주중앙시장,achair,서비스업,"강원도 원주시 중앙시장길 6, 라동 2층 56호"
74,강원,원주시,원주중앙시장,키우다（多肉）,공방,"강원도 원주시 중앙시장길 6, 라동 33호 34호"
75,강원,원주시,원주중앙시장,도그자기,공방,"강원도 원주시 중앙시장길 6, 라동 45호"
76,강원,원주시,원주중앙시장,클레이#,공방,"강원도 원주시 중앙시장길 6, 라동 43호 44호, 45호"
77,강원,원주시,원주중앙시장,모코롱,음식업,"강원도 원주시 중앙시장길 6, 라동 2층 70-1, 76, 77호"
78,강원,원주시,원주중앙시장,인어아가씨,음식업,"강원도 원주시 중앙시장길 6, 2층 67, 68, 69호"
79,강원,원주시,원주중앙시장,달리(DALLY),공방,"강원도 원주시 중앙시장길 6, 2층 47-2"
80,강원,원주시,원주중앙시장,술가락,음식업,"강원도 원주시 중앙시장길 6, 라동 2층 73-1호"
81,강원,원주시,원주중앙시장,미로주방,서비스업,"강원도 원주시 중앙시장길 6, 원주중앙시장 2층 라동 71, 73-1, 75-1호"
82,강원,원주시,원주중앙시장,꽃히다,공방,"강원도 원주시 중앙시장길 6, 라동 2층 54호"
83,강원,원주시,원주중앙시장,이노센트,공방,"강원도 원주시 중앙시장길 6, 라동 2층 67, 68"
84,강원,원주시,원주중앙시장,실버스톤,도소매업,"강원도 원주시 중앙시장길6, 2층라동 4호"
85,경기,수원시,영동시장,아뜰리에테라,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2201호"
86,경기,수원시,영동시장,엘쓰리엔터테이먼트,서비스업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2211호"
87,경기,수원시,영동시장,오씨솜씨,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2203호"
88,경기,수원시,영동시장,에이치에이치,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2204호"
89,경기,수원시,영동시장,하이라이크,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2207호"
90,경기,수원시,영동시장,박물관놀이터,서비스업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2208호"
91,경기,수원시,영동시장,하늘봄,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2205호"
92,경기,수원시,영동시장,위드코리아,서비스업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2206호"
93,경기,수원시,영동시장,우파몰,도소매업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2209호"
94,경기,수원시,영동시장,갤러리무드,도소매업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2210호"
95,경기,수원시,영동시장,우든스트,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2202호"
96,경기,수원시,영동시장,제이다락방(前다락방),공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2212호"
97,경기,수원시,영동시장,수아브,공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2213호"
98,경기,수원시,영동시장,몬스튜디오,도소매업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2214호"
99,경기,수원시,영동시장,자유의여신(월간공방),공방,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2215호"
100,경기,수원시,영동시장,신디케이트,도소매업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2218호"
101,경기,수원시,영동시장,간식여왕,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2219호"
102,경기,수원시,영동시장,다즐링케이크,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2220호"
103,경기,수원시,영동시장,송탄식당,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2221호"
104,경기,수원시,영동시장,크리미어,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2223호"
105,경기,수원시,영동시장,쉬림프스테이크,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2225호"
106,경기,수원시,영동시장,빠스텔브라질,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2227호"
107,경기,수원시,영동시장,달동산,음식업,"경기도 수원시 팔달구 수원천로255번길 6, A동 2층 2228호"
108,경북,구미시,선산봉황시장,완전싼닭,음식업,"경북 구미시 선산읍 단계동길24,A동2층 29,30호"
109,경북,구미시,선산봉황시장,에일리공작소,공방,"경북 구미시 선산읍 단계동길24,A동2층 5,6호"
110,경북,구미시,선산봉황시장,마루늘보,음식업,"경북 구미시 선산읍 단계동길24,A동2층 58,59호"
111,경북,구미시,선산봉황시장,광복상회,도소매업,"경북 구미시 선산읍 단계동길24,A동2층 41호"
112,경북,구미시,선산봉황시장,라인을그리다,서비스업,"경북 구미시 선산읍 단계동길24,A동2층2호"
113,경북,구미시,선산봉황시장,루브네일,서비스업,"경북 구미시 선산읍 단계동길24,A동2층40호"
114,경북,구미시,선산봉황시장,하루공방,공방,"경북 구미시 선산읍 단계동길24,A동2층37호"
115,경북,구미시,선산봉황시장,하이주호,도소매업,"경북 구미시 선산읍 단계동길24,A동2층 4호"
116,경북,구미시,선산봉황시장,제연의류,도소매업,"경북 구미시 선산읍 단계동길24,A동2층3호"
117,경북,구미시,선산봉황시장,지예공방,공방,"경북 구미시 선산읍 단계동길24,A동2층1호"
118,경북,구미시,선산봉황시장,다온도예도자공작소,공방,"경북 구미시 선산읍 단계동길24,A동2층 38호"
119,경북,구미시,선산봉황시장,다온도예,공방,"경북 구미시 선산읍 단계동길 24, A동 2층 39호"
120,경북,구미시,선산봉황시장,목혼,공방,"경북 구미시 선산읍 단계동길 24, 선산시장 제에이동 제2층 34,35호"
121,경북,구미시,선산봉황시장,찬찬찬,음식업,"경북 구미시 선산읍 단계동길 24, A동 2층 62호"
122,경북,구미시,선산봉황시장,봄날헤어샵,서비스업,"경북 구미시 선산읍 단계동길 24, A동 2층 33호"
123,경북,구미시,선산봉황시장,자두분식,음식업,"경북 구미시 선산읍 단계동길 24, A동 2층 61호"
124,전북,전주시,서부시장상점가,누룽지 관련,음식업,"전주시 완산구 효동2길 14-12 207호"
125,전북,전주시,서부시장상점가,메밀꽃소바,음식업,"전주시 완산구 효동2길 14-12 108호"
126,전북,전주시,서부시장상점가,오늘더예뻐,서비스업,"전주시 완산구 효동2길 14-12 206호"
127,전북,전주시,서부시장상점가,세련된한컷,서비스업,"전주시 완산구 효동2길 14-12 201호"
128,전북,전주시,서부시장상점가,황태가맥,음식업,"전주시 완산구 효동2길 14-12 109호"
129,전북,전주시,서부시장상점가,보니또선물,도소매업,전주시 완산구 효동2길 14-12 204호
130,경북,경주시,북부상가시장,얄리,도소매업,"경주시 금성로 396번길 7, 북동 음4호"
131,경북,경주시,북부상가시장,푸드라이프,음식업,"경주시 금성로 396번길 7, 북동 음5,6호"
132,경북,경주시,북부상가시장,경주안내소,서비스업,"경주시 금성로 396번길 7, 북동 음7,8호"
133,경북,경주시,북부상가시장,개인컴퓨터가게(상호명 없음),서비스업,"경주시 금성로 396번길 7, 북동 음9호"
134,경북,경주시,북부상가시장,황재비빔밥,음식업,"경주시 금성로 396번길 7, 북동 생8,9호"
135,경북,경주시,북부상가시장,라멘츠바사,음식업,"경주시 금성로 396번길 7, 북동 생12호"
136,경북,경주시,북부상가시장,SH푸드,음식업,"경주시 금성로 396번길 7, 북동 자13,14호"
137,경북,경주시,북부상가시장,따뜻한끼,음식업,"경주시 금성로 396번길 7, 북동 자17호"
138,경북,경주시,북부상가시장,건담매니아,도소매업,"경주시 금성로 396번길 7, 북동 자18호"
139,경북,경주시,북부상가시장,한가닥하는언니,서비스업,"경주시 금성로 396번길 7, 북동 자19호"
140,경북,경주시,북부상가시장,모모제과,음식업,"경주시 금성로 396번길 7, 북동 자28호"
141,경북,경주시,북부상가시장,세이퍼컴퓨터,도소매업,"경주시 금성로 396번길 7, 북동 자33호"
142,전북,군산시,군산공설시장,청년미각,음식업,전라북도 군산시 신금길 18（신영동）
143,전북,군산시,군산공설시장,고메식당1370,음식업,전라북도 군산시 신금길 18（신영동）
