"ID","MRKT_NM","CTPRVN_NM","SIGNGU_NM","LEGALDONG_CD","LEGALDONG_NM","ADSTRD_CD","ADSTRD_NM","ROAD_NM_CD","FCLTY_ROAD_NM_ADDR","ZIP_NO","GID_CD","FCLTY_LA","FCLTY_LO","MRKT_TY_CD","MRKT_OPER_PD","STORE_CO","MRKT_SLE_PRDLST_CN","USE_GCCT_CN","HMPG_URL","TOILET_EXST_AT","PRKPLCE_EXST_AT","MRKT_OPNNG_YEAR","REPRSNT_TEL_NO","SIGNGU_POPLTN_CO","SIGNGU_MRKT_CO","SIGNGU_STORE_CO","STORE_POPLTN_CO","FILE_NM","BASE_DE","KBS_URL_CN","MBC_URL_CN","SBS_URL_CN","NVRTV_URL_CN","KKOTV_URL_CN"
"KC603PO20N000000001","서대신1동골목시장","부산광역시","서구","2614010400","서대신동1가","2614054000","서대신1동","26","부산광역시 서구 대영로 30번길 19-1(서대신동1가)","49228","마라380803","35.1086576","129.0144325","상설장","-","50.0","농산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스,","지역사랑상품권","","N","N","1950","","108119.0","19.0","2060.0","52.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000002","해남매일시장","전라남도","해남군","4682025021","해남읍","4682025000","해남읍","46","전라남도 해남군 해남읍 천변2길 15","59036","다라173199","34.5703058","126.5989153","상설장","-","33.0","축산물,수산물,가공식품,음식점업,","온누리+지역사랑상품권","","Y","Y","1981","","68966.0","20.0","1418.0","49.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","http://www.kbs.co.kr/index.html?source=smr&sname=vod&stype=vod&contents_id=K01_PS-2021135601-01-000_MFSC2&program_code=T2000-0093&program_id=PS-2021135601-01-000&section_code=05&broadcast_complete_yn=N","","","https://tv.naver.com/v/21896122?query=%ED%95%B4%EB%82%A8%EB%A7%A4%EC%9D%BC%EC%8B%9C%EC%9E%A5&plClips=false:21896122:3680157:5025969:15484086:3865957:2886472:2887484",""
"KC603PO20N000000003","남리5일시장","전라남도","해남군","4682040021","황산면","4682040000","황산면","46","전라남도 해남군 황산면 시등로 111-11","59007","다라020206","34.5753237","126.4324836","5일장","5일","15.0","농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,기타소매업","온누리+지역사랑상품권","","Y","Y","1964","","68966.0","20.0","1418.0","49.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000004","광안시장","부산광역시","수영구","2650010400","광안동","2650079000","광안4동","26","부산광역시 수영구 수영로603번길 18","48254","마라468861","35.1601176","129.1124667","상설장","-","60.0","농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,","지역사랑상품권","","Y","Y","1955","","176885.0","38.0","2851.0","62.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000005","원통시장","강원도","인제군","4281032021","북면","4281032000","북면","42","강원도 인제군 북면 원통로 178번길 7-1","24617","라아617138","38.1225811","128.2046174","상설장+5일장","5일","58.0","농산물,축산물,수산물,의류 및 신발,가정용품,음식점업,기타소매업","온누리+지역사랑상품권","","Y","Y","","","31623.0","3.0","185.0","171.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000006","승주시장","전라남도","순천시","4615025021","승주읍","4615025000","승주읍","46","전라남도 승주읍 승주장길 14","57908","다라897687","35.0132251","127.3875192","5일장","5일","21.0","농산물,수산물,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스","온누리+지역사랑상품권","","Y","N","","","282618.0","17.0","1197.0","236.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000007","서면시장","경상북도","경주시","4713035021","서면","4713035000","서면","47","경상북도 경주시 서면 내서로 401-5","38053","마마397676","35.8950633","129.0480431","5일장","5일","5.0","가공식품,음식점업,기타소매업,근린생활서비스,","지역사랑상품권","","Y","Y","1929","","253468.0","31.0","6195.0","41.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","https://tv.naver.com/v/3425737?query=%EC%84%9C%EB%A9%B4%EC%8B%9C%EC%9E%A5&plClips=false:19296789:21951378:19694975:3902381:20934200:3425737:18290010:10317334:13920098:11448754:11448886:3928948:21720449:11494035:8545317:22007701:12454724:19424372:5064850:19931690:21268990:4623373:18380297:19026457:21782204:19441495:16045374:3362922:20639060:19431067:17433005:21272749:21437325:18152705:21950605:3416072:20045687:13928379:13689292:11493992,https://tv.naver.com/v/3416072?query=%EC%84%9C%EB%A9%B4%EC%8B%9C%EC%9E%A5&plClips=false:19296789:21951378:19694975:3902381:20934200:3425737:18290010:10317334:13920098:11448754:11448886:3928948:21720449:11494035:8545317:22007701:12454724:19424372:5064850:19931690:21268990:4623373:18380297:19026457:21782204:19441495:16045374:3362922:20639060:19431067:17433005:21272749:21437325:18152705:21950605:3416072:20045687:13928379:13689292:11493992,https://tv.naver.com/v/3425737?query=%EC%84%9C%EB%A9%B4%EC%8B%9C%EC%9E%A5&plClips=false:19296789:21951378:19694975:3902381:20934200:3425737:18290010:10317334:13920098:11448754:11448886:3928948:21720449:11494035:8545317:22007701:12454724:19424372:5064850:19931690:21268990:4623373:18380297:19026457:21782204:19441495:16045374:3362922:20639060:19431067:17433005:21272749:21437325:18152705:21950605:3416072:20045687:13928379:13689292:11493992,https://tv.naver.com/v/3416072?query=%EC%84%9C%EB%A9%B4%EC%8B%9C%EC%9E%A5&plClips=false:19296789:21951378:19694975:3902381:20934200:3425737:18290010:10317334:13920098:11448754:11448886:3928948:21720449:11494035:8545317:22007701:12454724:19424372:5064850:19931690:21268990:4623373:18380297:19026457:21782204:19441495:16045374:3362922:20639060:19431067:17433005:21272749:21437325:18152705:21950605:3416072:20045687:13928379:13689292:11493992","https://tv.kakao.com//channel/2993678/cliplink/386858117,https://tv.kakao.com//channel/2993678/cliplink/386935107,https://tv.kakao.com//channel/2993678/cliplink/397600053"
"KC603PO20N000000008","내일전통시장","경상남도","밀양시","4827010100","내일동","4827051000","내일동","48","경상남도 밀양시 상설시장3길 18-6","50430","마마136226","35.4933363","128.7533090","상설장+5일장","5일","122.0","농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스,","지역사랑상품권","","Y","Y","1915","","104868.0","6.0","421.0","249.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
"KC603PO20N000000009","영광터미널시장","전라남도","영광군","4687025021","영광읍","4687025000","영광읍","46","전라남도 영광군 영광읍 신남로3길 5-3","57043","다라093982","35.2755364","126.5030195","상설장+5일장","5일","90.0","농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스","온누리+지역사랑상품권","","Y","Y","1993","","53183.0","4.0","286.0","186.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","http://www.kbs.co.kr/index.html?source=smr&sname=vod&stype=vod&contents_id=K01_PS-2020083838-01-000_SC01&program_code=T2000-0093&program_id=PS-2020083838-01-000&section_code=05&broadcast_complete_yn=N,http://www.kbs.co.kr/index.html?source=smr&sname=vod&stype=vod&contents_id=K01_PS-2017014399-01-000_SC01&program_code=T2000-0093&program_id=PS-2017014399-01-000&section_code=05&broadcast_complete_yn=N,http://www.kbs.co.kr/index.html?source=smr&sname=vod&stype=vod&contents_id=K01_PS-2017014399-01-000_SC00&program_code=T2000-0093&program_id=PS-2017014399-01-000&section_code=05&broadcast_complete_yn=N","","","https://tv.naver.com/v/1439406?query=%EC%98%81%EA%B4%91%ED%84%B0%EB%AF%B8%EB%84%90%EC%8B%9C%EC%9E%A5&plClips=false:1439406:18285985:17434597:18163174:14148921:396797:3331870:12625000,https://tv.naver.com/v/14148921?query=%EC%98%81%EA%B4%91%ED%84%B0%EB%AF%B8%EB%84%90%EC%8B%9C%EC%9E%A5&plClips=false:1439406:18285985:17434597:18163174:14148921:396797:3331870:12625000","https://tv.kakao.com//channel/2653341/cliplink/300313938,https://tv.kakao.com//channel/2653341/cliplink/409648692,https://tv.kakao.com//channel/2653341/cliplink/300313936"
"KC603PO20N000000010","지산목련시장(지산종합시장)","대구광역시","수성구","2726011200","지산동","2726065200","지산2동","27","대구광역시 수성구 용학로42길 9","42212","마마022588","35.8207968","128.6318630","상설장","-","33.0","농산물,축산물,가공식품,음식점업,근린생활서비스","지역사랑상품권","","Y","Y","","","424947.0","19.0","946.0","449.0","KC_603_TRD_MART_CTL_STATN_BIZAEA_2020","20210201","","","","",""
